bins,Time,lon,pdens,adens,pvel,avel,Ahe,vap,B,radius,BrR2,mag,edens,ed,Br,Bt,Bn,vr,vt,vn,vA,MA
50,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,
57,2022-02-23 14:42:57.747549184,57.44561117120514,4.953379314208008,0.044553556459555665,306.3339854420677,430.1935659225713,0.009794298686349179,123.9420008423574,147.8239842181471,0.13115866838912896,-2.256308199598934,-2.256308199598934,5.527734131719307,322.93954198494845,-131.84056790186833,5.277079616332883,-10.502890595091774,306.3339854420677,-48.93811568389205,-8.01668232323497,187.29447114496543,1.646363138423379
58,2022-02-23 21:12:24.020057344,58.467796500434666,5.696431798733912,0.0764232674887572,298.6826001107059,418.42613099765566,0.014388709005534975,119.74353088694973,172.48182906565907,0.11954112486218281,-2.1765038516135484,-2.1765038516135484,6.102278975555786,427.6769873724906,-152.64596908986587,12.02981373916082,-14.155621717645191,298.6826001107059,-39.253908520044675,-15.881007653916646,189.090835292249,1.5820957390381003
59,2022-02-24 00:36:21.753968128,59.49099888225947,6.9161547059001895,0.10629586495321444,303.71658574428557,407.01226707752346,0.01626390585604751,103.29124017558993,192.26587299640084,0.11341835958579026,-2.1524181948140733,-2.1524181948140733,6.954592658676461,541.2543053093923,-167.4878199101442,20.26964490142409,-6.277543715855419,303.71658574428557,-33.53098759147983,-8.715837571982,188.0325585258801,1.6251002421436604
60,2022-02-24 03:04:52.000000000,60.48409509901036,9.088724185719867,0.09576339000600914,327.66351048354164,411.23434181277054,0.011397907684344701,83.63331648319448,178.45156449305867,0.10896088714700376,-1.4621370586377263,-1.4621370586377263,8.4362022380005,711.0984891449617,-122.91883887225023,4.269072268109861,-35.10362606909343,327.66351048354164,-54.20591954413645,-25.579016584750125,152.06215806750694,2.166872033454958
61,2022-02-24 05:06:28.463414528,61.47281227932016,6.6169613166821035,0.07995876300344058,317.7211047649403,460.6646445030883,0.013093502684496225,142.9534458467955,205.9967479701697,0.10531969750437825,-1.9720816069396745,-1.9720816069396745,7.242762380029183,652.6338228550022,-177.84649049123433,43.10678475768547,-34.646519907000595,317.7211047649403,-41.00139295339589,-16.655876498428686,183.07218112990282,1.7399665355474292
62,2022-02-24 06:53:49.000000000,62.49199800053406,7.756920638747645,0.0961824850722951,323.55946734408604,442.26858129884096,0.013690468390494407,118.74903232956291,227.55207533126298,0.10211884038142208,-1.7616676599506385,-1.7616676599506385,7.579647744539742,725.9037187431217,-169.23949234880877,15.514118186207954,-78.37706260486148,323.55946734408604,-49.00821345783089,-25.434927384455662,193.856866354893,1.7083778976477098
63,2022-02-24 08:26:36.000000000,63.493122813842604,10.04245770435395,0.09021039376716801,243.55286444711084,337.9141882494197,0.00933526101297982,94.3613238023088,243.00806158688235,0.09936695912711815,-2.2724958138412683,-2.2724958138412683,8.538062628072218,866.5351093840359,-230.26902163701965,28.41575683843445,-31.199250510458906,243.55286444711084,-18.108109169963804,-3.5632714633244547,189.00420016925293,1.285953414419787
64,2022-02-24 09:48:24.446428672,64.47603254339792,15.71850946701902,0.11945138008397256,254.84563784380796,307.89983443877554,0.007815350786572679,53.08747680523346,231.8647753180555,0.09695592239962493,-1.6723044310166926,-1.6723044310166926,12.148044951230071,1292.5443480191636,-177.81746541220764,-7.291221568132167,-39.47434372786381,254.84563784380796,-28.330577086220938,-14.848921222346648,146.18223684172423,1.7457753533167584
65,2022-02-24 11:05:20.716814336,65.49231328806515,14.753195759927591,0.11665761729234064,251.94479657453167,301.97621816189707,0.008146599773504128,50.03699497433245,247.9442675536715,0.09470485892742199,-1.6942330703098925,-1.6942330703098925,12.64542563114505,1410.6425743585633,-188.7541016252186,58.631862516474165,-60.5942689602932,251.94479657453167,0.2133796766739645,-20.80340831166707,149.58873445643238,1.6843220388796478
66,2022-02-24 12:14:55.000000000,66.49305976610377,16.176625108108663,0.11812403528240012,261.08217738157083,336.03366421892395,0.007316863992861151,74.97190195670996,244.9941014372973,0.09268597652544237,-1.8387725781547675,-1.8387725781547675,12.319654493429283,1433.801202108223,-214.23806814252674,-10.301089741002604,4.732563639468469,261.08217738157083,-24.919298067256182,6.311876556128303,146.62037354404492,1.7825349654628597
67,2022-02-24 13:18:54.958763008,67.48631780854984,12.957107298964722,0.10513746413124632,275.9192218257687,365.9505545595126,0.008716651451432456,90.03133273374391,263.98765010569906,0.09084522985956488,-1.8661066298126134,-1.8661066298126134,11.678380105511911,1415.3045251854935,-225.97948959843617,40.65824970336636,7.720532117569427,275.9192218257687,-12.355919686113909,2.961064662880439,159.00116740865184,1.7361838817798212
68,2022-02-24 14:19:54.933333504,68.50138367096574,12.21303230799756,0.10801017582255208,309.6380243903319,401.36203055747956,0.009571895865091364,91.72400616714768,268.1792034544475,0.08910771052757623,-1.4479269558812866,-1.4479269558812866,11.75594517560862,1480.7711814655065,-182.19599206186652,-15.904891674713543,96.27369505871363,309.6380243903319,-42.867560730087376,38.86637956156323,157.91215374430342,1.9625840682360982
69,2022-02-24 15:15:44.000000000,69.49165261804048,12.64446984026881,0.11222490012208437,291.14797665871737,404.79187963463227,0.009238798777855757,113.64390297591494,282.7823798272849,0.08753427970599187,-1.8306287403492372,-1.8306287403492372,11.280240688005033,1471.9525112589852,-238.89969589671807,-6.467281322917057,27.88127048263932,291.14797665871737,-33.61416047186149,5.310685443390121,167.03568287059244,1.7457893909830537
70,2022-02-24 16:09:07.493827072,70.49631329835867,10.459491710460563,0.07249244706887545,265.8060266268505,354.06462972689866,0.007069783522041476,88.25860310004809,324.7275097361358,0.08604578083961717,-2.165677732594689,-2.165677732594689,10.01123888924673,1351.2618785211619,-292.6172713741001,30.83896990107371,23.267126480091253,265.8060266268505,-11.2041061341834,9.6218494723239,200.67797820048156,1.3343484943918047
71,2022-02-24 16:59:17.000000000,71.49336287043315,9.83008088885546,0.055993915626750775,235.00225615646258,304.0889784893461,0.005758425819306693,69.08672233288357,348.1768954555982,0.08466376435830046,-2.3407508386621627,-2.3407508386621627,9.175907432416476,1280.072093339723,-326.54756465772647,49.941435464744586,-7.7176254654107135,235.00225615646258,4.648930014891437,1.1915483605613648,220.50469852061158,1.0665819479008516
72,2022-02-24 17:47:06.000000000,72.49389255542802,10.929372803737385,0.1013190923934331,212.20082705042705,254.13695543026793,0.009036862086800114,42.3635727024102,359.8762973572242,0.08336256424895025,-2.3412257744644145,-2.3412257744644145,9.495500196343952,1365.950618408049,-336.93863779373106,-51.50193325300507,50.68639947804972,212.20082705042705,-30.65626636108107,30.417002030485843,221.9383104226024,0.9590416319835219
73,2022-02-24 18:32:32.362318848,73.4914233765821,10.655703823722536,0.12175021488209999,193.99490686931426,230.28695721594832,0.011523089033726045,36.31997598563272,374.8391876115651,0.08214213158045944,-2.429622285595913,-2.429622285595913,9.41373802806828,1395.3918956177208,-360.0428652041946,22.24188913427858,-32.55954816051354,193.99490686931426,2.3988829091297617,-2.0509527995094374,227.39625303365705,0.8532329671183898
74,2022-02-24 19:16:05.000000000,74.4916068185693,9.819257312830523,0.10509815760668612,215.3700644171997,267.05652767719846,0.010725251037748828,51.6864632599987,386.0241584746985,0.0809885976359784,-2.294220407435355,-2.294220407435355,8.86970380204933,1351.6950246072724,-349.8095018695331,44.31947401587104,-31.596002016171063,215.3700644171997,10.266798389159398,-3.037101977786134,238.15331242760607,0.9029342197930255
75,2022-02-24 19:57:53.000000000,75.49367563286191,9.186262982738542,0.09325725508835887,231.41680932933733,314.9178487369298,0.010563645187968132,83.5010394075924,392.0426103896393,0.07989720892192845,-2.3462287617636863,-2.3462287617636863,8.295879452581122,1299.7404146887902,-367.4184637303487,13.615128314326876,3.6320593184785377,231.41680932933733,-11.70784966699567,-5.815758685978022,246.41803628522507,0.9397330921033503
76,2022-02-24 20:38:25.000000000,76.5056300405722,9.282902883200096,0.09806268368937242,253.1625931977858,345.61958817791503,0.011026403760362185,92.45699498012917,395.73375686730145,0.07885485730786858,-2.165723623867226,-2.165723623867226,8.487482130006917,1365.0502590730352,-348.2220561967191,22.146712683885895,-19.58227712580173,253.1625931977858,-16.955364238445853,-12.637660236279718,242.66457347347668,1.0429485719672782
77,2022-02-24 21:16:43.999999744,77.49980748620182,9.11636316133919,0.09089781751571802,265.4171262983406,365.09254488383834,0.010568274708657293,99.67541858549784,393.49944871433235,0.07788510834318836,-2.1707374025865325,-2.1707374025865325,8.407711762512136,1385.9945841617507,-357.8554157130257,24.175156541826638,3.480699768917497,265.4171262983406,-25.009634069594156,1.117171977664936,239.47712047753237,1.108653929667157
78,2022-02-24 21:53:47.000000000,78.49644645079555,9.17295295017623,0.09152833910399706,286.98692943874835,401.53713116541354,0.01076934630306456,114.55020172666514,392.92347451019754,0.07696268643016155,-2.1053025578997997,-2.1053025578997997,8.628661343546613,1456.893306845986,-355.3854490371202,27.50142220192341,2.645211022986335,286.98692943874835,-29.563064468823043,0.7032051585753778,233.25399471189505,1.2310437515354458
79,2022-02-24 22:29:03.600000000,79.47839059184852,8.262544560327095,0.10376007732531725,306.8146916774892,430.13163843679655,0.013441512525710315,123.31694675930736,401.42929275861405,0.07609929770194288,-2.122579133962822,-2.122579133962822,9.000918839106129,1554.3224472473855,-366.4860895698678,97.8267453357556,-11.620961937271085,306.8146916774892,-4.28792511423329,-15.302134949186753,230.7303918260988,1.3312043593873792
