bins,Time,lon,use_dens,vr,vt,vn,sigmac,sigmar
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,2022-03-04 23:31:27.500000000,65.75375618391635,9.466167129104262,444.5897964670939,15.487783348918995,1.7127862936815166,,
66,2022-03-04 22:06:02.500000000,66.50040408034937,10.671301226652107,461.55897724313024,12.202023615243242,-6.102854401537615,,
67,2022-03-04 20:12:30.000000000,67.49385804082686,10.614230141189518,497.08995003299117,18.395283224619686,-6.477911808408652,,
68,2022-03-04 18:17:55.000000000,68.49716214834751,11.102426521369274,515.5178809140621,25.919522510549484,-5.484767943620319,,
69,2022-03-04 16:23:20.000000000,69.50110195649135,13.081830795701979,514.2246975854106,3.288795866040506,-15.922107847495822,,
70,2022-03-04 14:28:45.000000000,70.50578482704425,14.268958039305351,501.52739559640764,-8.973118800381489,4.050935564143732,,
71,2022-03-04 12:37:06.470588160,71.48538668320437,14.119475528867541,525.4891403373128,-17.114766332487903,-6.5438578341832905,,
72,2022-03-04 10:41:40.000000000,72.49892946257684,13.152950407844575,556.6231093097507,-21.684857851381306,-18.35934883065887,,
73,2022-03-04 08:47:05.000000000,73.50567476730265,11.410101502456012,575.3903592437683,-54.315421690557,-10.052079010023881,0.6325606820654814,-0.31520836317837614
74,2022-03-04 06:53:32.499999744,74.50392944490487,12.054590371659609,568.822171774867,-12.64311632584702,-3.7674973992272007,0.4307106374760319,0.01893499496691102
75,2022-03-04 05:00:00.000000256,75.50286166148379,12.18015692493585,563.9187873520895,-16.863960068540067,-1.1914846797804437,0.39327585899572126,-0.34973456053509067
76,2022-03-04 03:06:27.500000256,76.50245228391425,14.416935336702883,546.6608597186753,-11.082053512450045,10.005479823740345,0.4057873357206266,-0.2703461173461241
77,2022-03-04 01:12:55.000000000,77.50269130613086,13.837710413013196,539.128269501283,-9.8174833296375,-13.663909775967836,0.4171451137773465,-0.3796097428641262
78,2022-03-03 23:19:22.500000000,78.50348804161105,12.691039531582465,545.4866659208036,-30.343374511575643,-12.316780279394845,0.6440408130516997,-0.5477773016908113
79,2022-03-03 21:26:52.499999744,79.49592751598384,14.150631630899044,543.717341890681,-28.827626457538273,8.68465212353054,0.5603012095396334,-0.5069088372966133
80,2022-03-03 19:33:20.000000000,80.49809277757717,18.07937437455095,523.0460355557185,-3.087204107386254,16.94475323104399,0.5530805328458056,-0.6034328094340428
81,2022-03-03 17:39:47.500000256,81.50096180466778,21.408094663785416,533.7755985468325,3.1618192048494724,9.814929638418217,0.5825322313338419,-0.4783227887449688
82,2022-03-03 15:47:17.500000000,82.49512435050993,26.544886589008364,518.428746703069,-17.740728043287934,0.9078671445435894,0.5264974473650771,-0.3790230863917502
83,2022-03-03 13:53:45.000000000,83.49918460520598,24.637528204197217,518.0621137305718,0.4759247126611804,8.289204894103262,,
84,2022-03-03 12:00:07.692307456,84.5044987445022,21.574232113012393,525.8607369279326,-22.367873699261125,2.298615213855613,,
85,2022-03-03 10:07:42.500000000,85.49992885087913,20.82819833475209,545.8014683172789,-34.57218679919728,-0.6338080264907966,,
86,2022-03-03 08:15:12.500000000,86.49660543492807,21.83924342937948,508.67462375821384,-18.871609318320136,19.98275580845163,0.6649280347758327,-0.12945605972589497
87,2022-03-03 06:22:42.500000000,87.49388253536179,20.902648922817363,512.3717185804996,-24.422288819146917,-0.22140108057947624,0.7717472854727558,0.06096034471843276
88,2022-03-03 04:36:27.500000000,88.43613930486619,20.801659575664843,494.94989341667866,-9.907852692545072,-8.984140480499098,,
89,2022-03-03 02:31:27.500000000,89.54579143921995,24.216697847892025,479.34366312090054,-0.9248749703817105,12.299172640129507,,
90,2022-03-03 00:43:07.500000000,90.50771749175459,23.042703707874242,462.672624394542,7.796975661322848,32.82777568290362,0.458241454274002,-0.3547533104946953
91,2022-03-02 22:50:37.500000000,91.50734203933145,24.20432884279794,450.2351806081989,-23.941186861000933,8.399256779611237,0.6368909904695337,-0.3980466483116989
92,2022-03-02 20:58:07.500000000,92.50754722996189,30.46579838207512,465.2543528612231,-16.523578834229607,8.690528653079038,0.4210304533275497,-0.5289169542206803
93,2022-03-02 19:05:37.500000000,93.5083128825626,26.360573754349613,446.2271961521804,-20.23676971894172,22.944090808368802,0.4641749340664011,-0.45036878390300006
94,2022-03-02 17:14:10.000000256,94.500283595442,25.092605216786403,453.360824798367,-30.722215370461708,24.331222483890006,0.4491088685769316,-0.27957012377397694
95,2022-03-02 15:22:42.500000000,95.49299410867377,21.806838573010005,449.0293797259558,-31.834537470105285,8.66744922012498,0.4662335387868829,-0.15596441720314527
96,2022-03-02 13:30:12.500000000,96.49545000535205,21.662640693641727,466.23639658191456,-50.09582922044878,9.957852119077788,,
97,2022-03-02 11:36:44.807692288,97.50701813581385,23.446136205428576,463.07083895877327,-8.032409051177169,11.38688554969092,,
98,2022-03-02 09:45:12.500000000,98.50201212529072,22.846497505544356,500.832451583408,1.8503927849031323,-10.718565555853887,,
99,2022-03-02 07:52:42.500000000,99.50611031907238,24.245328448346026,481.29633746453106,-9.445885268030914,9.33134876354023,0.7382254480981763,-0.1134854429721062
100,2022-03-02 06:01:15.000000000,100.50149212694926,23.647350779686406,472.0242479852075,-29.553177983449586,-5.828550233149518,0.7664851322132477,-0.22051624631933903
101,2022-03-02 04:09:47.500000000,101.49732927838146,25.415268046277628,487.8446015936753,-40.61888657399194,0.05223677773562573,0.807914841626438,-0.3807525653417489
102,2022-03-02 02:17:17.500000000,102.5030352197074,24.146141348939665,523.5111221359767,2.7689732066127166,-11.47035326679236,0.6606116374543257,-0.37844643481901247
103,2022-03-02 00:25:50.000000000,103.49998212934784,24.628060718839254,550.458322283817,20.648002023603162,-12.351079033892871,0.7732880770378664,-0.21478543004299053
104,2022-03-01 22:34:22.500000000,104.4974000997246,24.04121393966547,533.8906390372985,-13.55581419987752,-7.228162542983572,0.6554331783134962,-0.31641475069779895
105,2022-03-01 20:41:52.500000000,105.50469039288252,28.42819731343339,518.3635914874552,-21.7733255629844,-10.464131562294524,0.4680896915620141,-0.4465882314364888
106,2022-03-01 18:50:25.000000000,106.50315331396914,28.06613367989126,510.6414503644248,-7.387045339356192,-4.848405607798409,0.6242668455561694,-0.5500290438337334
107,2022-03-01 16:58:57.500000000,107.5021336846932,30.268825768966547,511.5837916616263,-23.975342724344756,12.731468846503061,0.3178251062356513,-0.21809855495443764
108,2022-03-01 15:07:30.000000000,108.50161957760393,34.447179251198264,482.74817710932746,3.0318407112788153,21.27729656637344,-0.0906038773008845,0.20698901567046257
109,2022-03-01 13:16:02.500000000,109.50145830009821,32.39298634514724,447.2359172335342,11.916887455597127,4.525024981976912,,
110,2022-03-01 11:22:30.000000000,110.5209158484261,31.32518234400696,444.92691950090926,0.5595634661439561,12.20281909351457,,
111,2022-03-01 10:27:17.500000000,111.01362208338637,26.588402656739813,455.63638819749224,-3.9716595183542323,21.52901692476489,,
112,,,,,,,,
113,2022-03-01 05:23:07.499999744,113.75015677921701,36.999287423664036,390.3182406555189,24.574368045346173,8.777740899782764,,
114,2022-03-01 03:59:47.500000256,114.49950424543273,42.030724299227145,379.4618340406586,24.14574727417227,6.01405385953737,,
115,2022-03-01 02:08:20.000000000,115.50239780722134,45.19937391642575,356.7056958346014,30.776698989985928,-3.653707466039904,-0.7072823981502259,-0.3900998802518444
116,2022-03-01 00:17:55.000000000,116.49639470340405,34.46862865070628,360.98131948103065,29.576406819295244,-17.33545239187442,-0.632553683107041,-0.5699769418579341
117,2022-02-28 22:26:27.500000256,117.50024223047647,32.70439036017772,358.6057827417488,28.061115854456016,-4.476882323909218,-0.48037409709246925,-0.5971946663112203
118,2022-02-28 20:35:00.000000000,118.50454685162221,25.289046156877664,372.5825763483338,25.825371804220556,3.530059822571706,-0.6065655975094433,-0.47034459407826734
119,2022-02-28 18:44:35.000000000,119.49993319308908,19.381196432821056,367.3395957383597,13.927757473277541,-0.761709808697866,-0.6246430808824707,-0.5116744156824843
120,2022-02-28 16:54:10.000000000,120.49577277497724,17.086450883359326,378.19126320279213,13.007162516879626,-20.604757958755574,-0.6997893215537858,-0.43108127345304387
121,2022-02-28 15:02:42.500000000,121.50145570501262,15.325015982526882,380.7763109744624,-3.5276924709356257,-4.018118275819288,-0.6701705101783629,-0.14318919137118305
122,2022-02-28 13:11:15.000000000,122.50760091977011,14.190470179568624,388.1863510928941,-2.654036782477062,-4.127698001551392,,
123,2022-02-28 11:18:20.000000000,123.52734310134949,14.649437380948811,400.4622095662969,-12.529992597591956,3.72289758591823,,
124,2022-02-28 09:30:25.000000000,124.50241292867778,13.269380844815124,403.91182056774954,9.35247071022558,-22.39248369210134,,
125,2022-02-28 07:39:59.999999744,125.50047367129852,14.18671373880668,413.80907916653985,17.47446124872052,1.5176773888222914,,
126,2022-02-28 06:11:27.500000000,126.30115068753746,12.712779157824471,412.58694658815523,-8.60839351583203,-8.74123823670785,,
127,,,,,,,,
128,,,,,,,,
129,2022-02-28 00:14:10.000000000,129.5348805170818,14.480868953503169,420.4867878543221,-4.160913391694675,-5.056564981016605,,
130,2022-02-27 22:27:55.000000000,130.49724820122975,12.314877093666311,,,,,
131,2022-02-27 20:37:30.000000000,131.4978750237264,8.21884078878766,,,,,
132,2022-02-27 18:47:05.000000256,132.498912418375,9.147810280740261,503.78634410282257,-5.7285451106641005,34.817944196187,,
