Time,lon,use_dens,Np,vr,vt,vn
2022-02-17 21:00:00,262.7992729091738,9.845004,9.845004,549.4292,-26.116001,-81.21082
2022-02-18 00:00:00,261.98776979755456,9.427688072506506,9.427688072506506,562.7063560147442,-13.196911131939288,-40.65126277084562
2022-02-18 03:00:00,260.2658705591867,9.760979559629629,9.760979559629629,548.105086037037,-23.464571630143706,-10.84519257491426
2022-02-18 06:00:00,258.57770335499794,11.160835744444444,11.160835744444444,551.0212578740741,0.5071320526348149,14.39314932441889
2022-02-18 09:00:00,256.88999963818435,11.716613441851852,11.716613441851852,544.6572948185185,-18.56794394590533,7.0636586222524445
2022-02-18 12:00:00,255.1674694267032,10.29405967124082,10.29405967124082,530.061115156552,-20.399218660478894,-2.8382492617982216
2022-02-18 15:00:00,253.51600404762968,9.910783343555556,9.910783343555556,538.8652006,10.825463392515777,9.92299550236163
2022-02-18 18:00:00,251.82972300955785,10.619913631851851,10.619913631851851,552.7729413444445,-28.156752204735923,12.285446092615926
2022-02-18 21:00:00,250.1439271316891,9.886602188703703,9.886602188703703,589.5479091444445,-7.321430757038667,-13.821798091213703
2022-02-19 00:00:00,248.45862198110834,9.615729480925927,9.615729480925927,577.8152394851852,-6.219701571296666,10.762299169026297
2022-02-19 03:00:00,246.77381318366756,10.572699335185186,10.572699335185186,565.8082345148148,-5.015105963798112,25.572968648430848
2022-02-19 06:00:00,245.08950642881092,9.478604907222223,9.478604907222223,548.6368230222223,13.088939079852741,-6.932602013223333
2022-02-19 09:00:00,243.4057074676974,9.457357016296296,9.457357016296296,571.5593095037036,-1.152631338774074,-8.087608943241445
2022-02-19 12:00:00,241.68720975780144,9.156535713181292,9.156535713181292,586.7841037611133,-20.465628830002707,3.195524316377271
2022-02-19 15:00:00,240.039967806677,8.224402204075583,8.224402204075583,591.1204684142275,6.781002523760911,-12.000283408068174
2022-02-19 18:00:00,238.35803857794807,9.204508315037037,9.204508315037037,569.0998273777778,-15.198957767145185,9.597680560835556
2022-02-19 21:00:00,236.6763291588332,8.488422608703702,8.488422608703702,554.8627291037037,-10.475559884374444,-12.546516939453335
2022-02-20 00:00:00,234.99515744914964,9.59146040088889,9.59146040088889,546.7827746777778,-0.9129495928309111,4.9703713113772965
2022-02-20 03:00:00,233.3145293935412,9.824927342333334,9.824927342333334,532.1201010740741,0.2839912372255555,-1.3444060115110001
2022-02-20 06:00:00,231.63445120289796,10.19208819074074,10.19208819074074,536.7845127185185,13.95136665439148,-3.8857458703396297
2022-02-20 09:00:00,229.95492915723062,10.843948031666667,10.843948031666667,521.7409923925926,-18.569751404246666,-5.180197219772149
2022-02-20 12:00:00,228.24087526894397,10.474183942017781,10.474183942017781,504.9373923154233,14.945712052842753,-1.3146496170028605
2022-02-20 15:00:00,226.5975789718687,10.681791843703703,10.681791843703703,514.8181044296296,22.5814989568,-4.7149179310978155
2022-02-20 18:00:00,224.9197637459473,11.562741183703704,11.562741183703704,474.6727020740741,9.035692381001185,-3.1420048368703335
2022-02-20 21:00:00,223.2745148452428,13.117972805929918,13.117972805929918,469.05777401232194,21.335293000916828,-2.78948569798067
2022-02-21 00:00:00,,,,,,
2022-02-21 03:00:00,219.48057482188636,13.513318592324403,13.513318592324403,380.65748420709633,19.61202597668356,16.16423506039102
2022-02-21 06:00:00,218.21438935378785,12.449469954444444,12.449469954444444,396.8453333703704,26.716439364706666,10.246338343460238
2022-02-21 09:00:00,216.53955114490685,9.974561892222223,9.974561892222223,419.2760931444444,4.888970537310333,18.552305586931112
2022-02-21 12:00:00,214.83002755939273,10.495133023240527,10.495133023240527,440.55866589327144,20.909017776821347,-11.541029845388062
2022-02-21 15:00:00,213.19172953324983,19.013682024074075,19.013682024074075,553.1735464444445,6.403663904558889,-10.720140224257593
2022-02-21 18:00:00,211.51876025555492,16.819378833703702,16.819378833703702,500.61871481481484,11.93733872274852,13.23520258484474
2022-02-21 21:00:00,209.84642821388883,14.092444371296297,14.092444371296297,492.80762415925926,-3.1623240304055558,-7.603347091990001
2022-02-22 00:00:00,208.17474067319554,13.193894919814815,13.193894919814815,501.49749,-2.286429775885,6.5121933135374075
2022-02-22 03:00:00,206.50370498129655,14.780240196111112,14.780240196111112,505.6739640962963,1.5529537320362963,9.924723937554074
2022-02-22 06:00:00,204.83332856997896,15.75923507462963,15.75923507462963,495.52267493703704,26.245780702078704,-25.804327823082147
2022-02-22 09:00:00,203.16361895609177,14.228380217037037,14.228380217037037,508.00642151111106,10.945098342126666,-22.15132875176926
2022-02-22 12:00:00,201.45939225394355,10.705988235730858,10.705988235730858,544.8205385924207,1.2958581348857308,-22.38610559944702
2022-02-22 15:00:00,199.82623062006616,8.597714701037038,8.597714701037038,537.3862623518518,-20.7772025878,-20.076891685855554
2022-02-22 18:00:00,198.15856736708503,7.640426158740741,7.640426158740741,529.0592362703703,-17.710799406671406,-16.78410265402889
2022-02-22 21:00:00,196.49160185216056,8.690402189444445,8.690402189444445,533.7631529111111,-27.05219327129093,-19.805280146697186
2022-02-23 00:00:00,194.82534203484752,10.286236449444445,10.286236449444445,528.8492558481481,-26.323880377382967,-33.61590919546334
2022-02-23 03:00:00,193.15979596576605,11.492796883333334,11.492796883333334,506.5354664,-23.17985342734963,-30.87310246129926
2022-02-23 06:00:00,191.494971789662,8.164651029296296,8.164651029296296,448.272559762963,-5.465472522124815,-33.741818325775924
2022-02-23 09:00:00,189.83087774541445,7.667668617666666,7.667668617666666,413.8162728666667,-9.172123098912518,-36.744199297529626
