,times,lon,lat,rAU,sslon,sslat,ssrAU,flon,flat,frAU
435,2022-02-27 04:00:00,183.83290027273873,-1.5072325762739123,0.10873139587562228,195.92462724202883,-1.5072325762739025,0.009300934521924315,193.15295534336397,-9.496547717274407,0.004664433449552609
436,2022-02-27 04:30:00,184.1187210806546,-1.4710527614307378,0.10963116218655927,194.50243503841173,-1.4710527614307383,0.009300934521924315,192.4694325111263,-10.1812883605518,0.004654336550196327
437,2022-02-27 05:00:00,184.39505775853365,-1.4353144642337967,0.11053137692446788,196.89541808857334,-1.4353144642337907,0.009300934521924315,194.0052291524,-8.733169436971815,0.004656320664813391
438,2022-02-27 05:30:00,184.66213685277572,-1.4000142688490662,0.11143194359601845,196.73254825809954,-1.4000142688490587,0.009300934521924315,193.86686054751647,-8.828821475410983,0.004659195836650491
439,2022-02-27 06:00:00,184.92017871358277,-1.3651484832495575,0.11233277013816703,197.29491767973366,-1.3651484832495604,0.009300934521924315,194.82366729663102,-7.798270070413534,0.004668911940892838
440,2022-02-27 06:30:00,185.16939764173438,-1.3307131705820443,0.11323376872153652,197.20434248616388,-1.330713170582038,0.009300934521924315,194.75665087607084,-7.851954360516541,0.004670988906966652
441,2022-02-27 07:00:00,185.41000203639604,-1.296704178028319,0.11413485556238306,196.89047578938627,-1.2967041780283164,0.009300934521924315,194.13005788112832,-8.599283929317263,0.004653521327673631
442,2022-02-27 07:30:00,185.6421945430293,-1.263117163339721,0.11503595074281955,197.4864170428161,-1.2631171633397178,0.009300934521924315,195.12385356165555,-7.466346759596473,0.004659961033509114
443,2022-02-27 08:00:00,185.86617220098046,-1.229947619220216,0.11593697803872319,197.9182973694024,-1.2299476192202092,0.009300934521924315,195.8507429897181,-6.564790138376805,0.004687689974135697
444,2022-02-27 08:30:00,186.08212659045827,-1.197190895697137,0.11683786475548202,197.91158538307423,-1.1971908956971296,0.009300934521924313,195.87266660916242,-6.533290122643578,0.0046873539669128285
445,2022-02-27 09:00:00,186.2902439781395,-1.164842220637839,0.11773854157091751,198.47954788506007,-1.1648422206378377,0.009300934521924315,196.6145507744001,-5.812210118684677,0.004671885867982335
446,2022-02-27 09:30:00,186.49070546145498,-1.1328967185417496,0.11863894238526271,198.01656030833053,-1.1328967185417445,0.009300934521924315,196.0530692563884,-6.343770102770609,0.004684289209007241
447,2022-02-27 10:00:00,186.68368711070102,-1.101349427740909,0.1195390041777763,196.10573017270505,-1.1013494277409117,0.009300934521924313,193.52660093448065,-9.02620286358804,0.004664835065272931
448,2022-02-27 10:30:00,186.8693601093568,-1.0701953161253195,0.12043866686978028,195.38615211865724,-1.070195316125318,0.009300934521924315,193.02798355382305,-9.456291251268793,0.004666381235059683
449,2022-02-27 11:00:00,187.04789089196507,-1.0394292954914328,0.12133787319414747,199.1627839633057,-1.0394292954914321,0.009300934521924315,198.12035612605519,-4.203009098396761,0.004681308987810052
450,2022-02-27 11:30:00,187.21944127951997,-1.0090462346404558,0.12223656857036709,198.8491502052703,-1.0090462346404507,0.009300934521924315,197.6848362202445,-4.617713588071079,0.004688449518413079
