Time,timestamps,lon,BrR2,Br,Bn,Bt,B
2022-02-18 00:00:00,1645147775.054425,261.9586718503175,2.960553383041364,6.0410349965517245,1.7688408208045978,-5.692846450574713,10.881613026780196
2022-02-18 03:00:00,1645158587.4384527,260.26811171564896,3.3218886303148927,6.799991152238807,-1.8995861760298507,-2.0166351897014927,10.662714677706095
2022-02-18 06:00:00,1645169399.8219306,258.5780118083522,,,,,
2022-02-18 09:00:00,1645180212.2047787,256.8883756527595,,,,,
2022-02-18 12:00:00,1645191024.5874708,255.19921032430415,,,,,
2022-02-18 15:00:00,1645201836.9701858,253.51051938109464,,,,,
2022-02-18 18:00:00,1645212586.853604,251.83206670799134,,,,,
2022-02-18 21:00:00,1645223399.2365515,250.14434089989106,,,,,
2022-02-19 00:00:00,1645234211.6198368,248.45710594089596,,,,,
2022-02-19 03:00:00,1645245024.0032983,246.770369409075,,,,,
2022-02-19 06:00:00,1645255836.3867784,245.0841351094334,1.1434223938465473,2.425719347091035,1.0070229697586206,-5.757987168965517,8.767018573955585
2022-02-19 09:00:00,1645266586.2705579,243.40815292903372,1.8274615066015527,3.8866981567465118,2.8597732790697674,-3.7658526470232556,9.299201251807546
2022-02-19 12:00:00,1645277398.6532638,241.72294052947328,2.1268324159181424,4.5398965984482755,-0.13284584628735632,-2.3507425518390805,8.25954781338298
2022-02-19 15:00:00,1645288211.0357435,240.03824783671413,0.49301591143509255,1.0557204646976743,2.81787285627907,-6.455640638372093,8.376115626285952
2022-02-19 18:00:00,1645299023.4191492,238.35408265282135,2.242902446625759,4.826659422758621,-0.05268321581609194,-2.102357470229885,7.718795453380433
2022-02-19 21:00:00,1645309835.8025343,236.67044911370274,2.2944246104428294,4.956516261383721,2.7404557171860464,-1.1916937571627906,7.420807237478022
2022-02-20 00:00:00,1645320585.6851392,234.99708238711185,2.0711304220183724,4.491020810348838,-1.0737001077906976,-2.225764304534884,7.94626451591499
2022-02-20 03:00:00,1645331398.0669303,233.31453066493515,1.719719367705157,3.7410741048850578,0.13532214218390806,-2.748574764218391,8.185081483336502
2022-02-20 06:00:00,1645342210.448604,231.63252902375558,1.0919820133344882,2.386254416511628,2.4135677278255816,-6.109863439186046,8.248564576614378
