,Time,timestamps_x,lon_x,oxy,car,iron,bins_x,timestamps_y,lon_y,Np,dens,vel,vr,vn,vt,bins_y
953,2022-02-24 21:32:59.275000,1645738379.275,170.44560345936674,0.19094475,6.4382095,0.17047514,170,1645738380.7756002,170.44537357619245,20.253263,7.91533351789289,310.8263,310.8263,19.864891,11.598685,170
954,2022-02-24 21:42:59.276000,1645738979.276,170.35368809870624,0.33700532,7.3225737,0.15135421,170,1645738980.776639,170.35345821606788,24.692684,9.647859969180066,311.1789,311.1789,26.116714,14.41711,170
955,2022-02-24 21:52:59.275000,1645739579.275,170.2617756490193,0.4254928,6.2289357,0.12857768,170,1645739580.777678,170.26154546054397,43.982147,17.180174694166137,310.7436,310.7436,8.750668,14.211129,170
956,2022-02-24 22:02:59.275000,1645740179.275,170.1698656523877,0.4363576,5.075006,0.12548321,170,1645740180.778717,170.16963531129755,47.24921,18.45160441642972,306.82074,306.82074,13.375738,13.714967,170
957,2022-02-24 22:12:59.274000,1645740779.274,170.07795841683551,0.348698,6.1267095,0.09246863,170,1645740780.779756,170.07772776994926,48.533897,18.94842667090878,309.80713,309.80713,9.91984,14.184713,170
958,2022-02-24 22:22:59.274000,1645741379.274,169.98605363763502,0.33258113,7.6906567,0.10623283,169,1645741380.7807949,169.9858228381647,39.268867,15.327267821965174,308.26474,308.26474,10.810375,12.922831,169
959,2022-02-24 22:32:59.273000,1645741979.273,169.89415162282407,0.30085695,3.842248,0.13178404,169,1645741980.781834,169.89392051758102,31.273943,12.203583185754374,305.448,305.448,11.288003,10.482284,169
960,2022-02-24 22:42:59.274000,1645742579.274,169.80225191450916,0.36313698,5.1857815,0.102416955,169,1645742580.7828732,169.80202080987956,54.043053,21.08302531321837,306.1152,306.1152,17.838379,11.135377,169
961,2022-02-24 22:52:59.274000,1645743179.274,169.71035497387672,0.33610123,5.4604278,0.088194616,169,1645743180.783912,169.7101237166881,28.64017,11.170096937315924,299.17606,299.17606,22.41114,12.668788,169
962,2022-02-24 23:02:59.273000,1645743779.273,169.61846080256862,0.30666357,6.29882,0.092416696,169,1645743780.784951,169.6182292396748,29.422922,11.472430795023444,299.75757,299.75757,20.56695,13.159685,169
963,2022-02-24 23:12:59.273000,1645744379.273,169.5265690959037,0.30501273,4.420919,0.094467245,169,1645744380.78599,169.52633738049605,36.71134,14.31061039687222,301.60156,301.60156,11.619139,16.256859,169
964,2022-02-24 23:22:59.272000,1645744979.272,169.43468016186708,0.23500063,3.975501,0.1002193,169,1645744980.787029,169.43444814079504,38.037365,14.82369779992838,299.30084,299.30084,6.9943824,22.42301,169
965,2022-02-24 23:32:59.272000,1645745579.272,169.34279369581404,,,,169,1645745580.788068,169.3425615222432,52.5272,20.46532164872681,297.57452,297.57452,-3.4676278,33.121307,169
966,2022-02-24 23:42:59.273000,1645746179.273,169.2509096994175,,,,169,1645746180.7891068,169.25067752651773,50.057697,19.4981488069998,293.14468,293.14468,3.2966156,30.851107,169
967,2022-02-24 23:52:59.273000,1645746779.273,169.1590284806088,,,,169,1645746780.790146,169.15879615521942,43.737747,17.03205600518426,290.2635,290.2635,1.8697429,35.72174,169
968,2022-02-25 00:00:29.105600,1645747229.1056,169.090144923752,,,,169,1645747228.790921,169.0901931105015,59.629456,23.21603138319243,296.0373,296.0373,7.800441,27.307714,169
969,2022-02-25 00:10:29.105600,1645747829.1056,168.99826830099985,,,,168,1645747828.79196,168.99831632729897,75.08015,29.22404718585992,296.92276,296.92276,10.592895,27.466705,168
970,2022-02-25 00:20:29.106700,1645748429.1067,168.90639413885674,,,,168,1645748428.792999,168.90644217310515,75.819786,29.50433877404341,295.3724,295.3724,12.662716,27.046286,168
971,2022-02-25 00:30:29.106700,1645749029.1067,168.81452277582017,,,,168,1645749028.794038,168.8145706496142,84.84749,33.008849003211616,295.76532,295.76532,14.814701,26.626165,168
972,2022-02-25 00:40:29.106800,1645749629.1068,168.72265402986193,,,,168,1645749628.795077,168.72270175849062,93.14376,36.22706844314809,295.4839,295.4839,16.73406,26.598824,168
973,2022-02-25 00:50:29.106800,1645750229.1068,168.63078793319903,,,,168,1645750228.796116,168.63083550140377,93.31875,36.28576941319844,295.05325,295.05325,11.917721,32.835133,168
974,2022-02-25 01:00:29.106800,1645750829.1068,168.53892447225917,,,,168,1645750828.7971551,168.5389718800207,113.970764,44.30460543127147,294.5038,294.5038,18.005182,31.783737,168
975,2022-02-25 01:10:29.107900,1645751429.1079,168.44706348025863,,,,168,1645751428.798194,168.447110895996,137.5311,53.4495777000913,294.50388,294.50388,16.480572,29.45958,168
976,2022-02-25 01:20:29.107900,1645752029.1079,168.35520529570817,,,,168,1645752028.799233,168.3552525509993,137.24307,53.323878899141775,293.01978,293.01978,16.637585,30.231428,168
977,2022-02-25 01:30:29.108000,1645752629.108,168.2633497365432,,,,168,1645752628.800272,168.26339684673184,156.72435,60.8773423187509,292.59882,292.59882,16.506939,32.872925,168
978,2022-02-25 01:40:29.108000,1645753229.108,168.17149683507773,,,,168,1645753228.801311,168.1715437848497,202.54076,78.65376475447066,297.3154,297.3154,24.95333,24.741522,168
979,2022-02-25 01:50:29.108000,1645753829.108,168.07964657763532,,,,168,1645753828.80235,168.07969336701464,177.1398,68.77191145346738,292.39658,292.39658,31.40373,23.35592,168
980,2022-02-25 02:00:29.108100,1645754429.1081002,167.98779895061443,0.23403516,1.8112198,0.19981499,167,1645754428.8033888,167.9878455949143,75.41973,29.273035020887203,294.97626,294.97626,28.337393,16.789217,167
981,2022-02-25 02:10:29.109100,1645755029.1091,167.89595383323982,0.29579267,3.301729,0.23058966,167,1645755028.804428,167.89600047021014,44.400208,17.22882169940828,312.11984,312.11984,13.834587,9.699625,167
982,2022-02-25 02:20:29.109200,1645755629.1091998,167.80411150270595,0.34854588,4.2237267,0.12541452,167,1645755628.805467,167.8041579945932,30.10737,11.679686356357076,322.26712,322.26712,14.581726,14.34796,167
983,2022-02-25 02:30:29.109200,1645756229.1091998,167.712271838219,0.30909652,4.8138275,0.13431163,167,1645756228.806506,167.7123181697548,40.481804,15.700228210982685,330.1648,330.1648,-2.8049493,2.696081,167
984,2022-02-25 02:40:29.109200,1645756829.1091998,167.62043482618247,0.28875712,4.0208516,0.17504095,167,1645756828.8075452,167.62048099733303,26.28594,10.191951568125369,325.13235,325.13235,17.749819,30.175556,167
985,2022-02-25 02:50:29.110300,1645757429.1102998,167.5286002998851,0.29048583,4.044451,0.17635444,167,1645757428.808584,167.52864647905002,26.628819,10.322227727128755,314.85815,314.85815,4.4463763,29.431578,167
986,2022-02-25 03:00:29.110300,1645758029.1102998,167.436768597752,0.28759292,4.1415215,0.18104875,167,1645758028.809623,167.436814616558,32.8988,12.749386026747583,329.33585,329.33585,2.5551786,34.80506,167
987,2022-02-25 03:10:29.110300,1645758629.1102998,167.34493955308398,0.28489283,6.1652513,0.19630738,167,1645758628.8106618,167.3449854115538,27.356535,10.598830679475403,318.0941,318.0941,-11.977813,20.986233,167
988,2022-02-25 03:20:29.110400,1645759229.1104,167.25311315229186,0.15754017,2.9157841,0.18278573,167,1645759228.811701,167.25315886570647,25.624779,9.925322256342358,373.85748,373.85748,-13.9986,20.017227,167
989,2022-02-25 03:30:29.110400,1645759829.1104,167.16128942761998,0.1047132,2.3376343,0.17046751,167,1645759828.81274,167.16133498072776,27.64348,10.704461191159464,384.11374,384.11374,-22.44671,7.171638,167
990,2022-02-25 03:40:29.111500,1645760429.1115,167.06946819717362,0.10941554,2.8920915,0.12594518,167,1645760428.8137789,167.06951375826287,30.63344,11.859201172134142,405.30667,405.30667,-34.968006,-5.6807103,167
991,2022-02-25 03:50:29.111500,1645761029.1115,166.977649799259,0.09483095,3.8810565,0.10696194,166,1645761028.814818,166.9776952000406,36.59474,14.16334727270918,410.54645,410.54645,-35.85328,12.348681,166
992,2022-02-25 04:00:29.111500,1645761629.1115,166.8858340672522,0.10426035,2.8661876,0.119850524,166,1645761628.815857,166.8858793077195,38.768528,15.000787239841324,402.19998,402.19998,-34.523636,-1.7586075,166
993,2022-02-25 04:10:29.111600,1645762229.1116002,166.7940209875277,0.08695142,2.7862635,0.11690878,166,1645762228.816896,166.79406608301792,35.262043,13.64048174689697,398.34183,398.34183,-22.086412,-14.769195,166
994,2022-02-25 04:20:29.112600,1645762829.1126,166.70221043938585,0.08515473,3.1713219,0.13205358,166,1645762828.817935,166.70225552759524,38.093586,14.731995173219126,391.1654,391.1654,-11.20714,-29.265778,166
995,2022-02-25 04:33:00.296900,1645763580.2969,166.5872699925518,0.07472801,2.1191118,0.12533532,166,1645763580.8192372,166.58719007002588,39.769924,15.375293085673864,399.11725,399.11725,-24.666998,-2.121909,166
996,2022-02-25 04:43:00.301000,1645764180.301,166.49546498745428,0.09033813,2.2650328,0.11017528,166,1645764180.820276,166.49538553559773,39.612564,15.31048717757836,387.24295,387.24295,-25.479488,3.5104232,166
997,2022-02-25 04:53:00.302000,1645764780.302,166.40366313149187,0.06474716,2.1341555,0.14368597,166,1645764780.821315,166.40358367596886,40.358246,15.5946533854277,398.07077,398.07077,-17.72011,19.234915,166
998,2022-02-25 05:03:00.302000,1645765380.302,166.31186410499458,0.0819549,2.2108984,0.13847221,166,1645765380.8223538,166.31178449283698,46.395035,17.922653697139655,407.3545,407.3545,16.664383,4.988747,166
999,2022-02-25 05:13:00.302100,1645765980.3021,166.22006774138146,0.089121185,1.9105195,0.12779136,166,1645765980.823393,166.2199879878964,42.842396,16.54595717662891,395.09796,395.09796,-5.37952,9.025332,166
1000,2022-02-25 05:23:00.302100,1645766580.3021,166.12827407294262,0.082400985,2.1055698,0.13301592,166,1645766580.824432,166.12819416282943,42.86039,16.54861206792262,403.2573,403.2573,-12.02541,14.205213,166
1001,2022-02-25 05:33:00.303100,1645767180.3031,166.0364829330938,0.08853073,2.8718135,0.120957226,166,1645767180.825471,166.03640301934888,36.60869,14.131130786818185,409.8472,409.8472,-31.084126,9.313795,166
1002,2022-02-25 05:43:00.303200,1645767780.3032,165.94469461421474,0.070101686,2.4501119,0.14430782,165,1645767780.8265102,165.9446145591394,39.94839,15.416269722686456,406.71573,406.71573,-21.3822,-15.227093,165
1003,2022-02-25 05:53:00.303200,1645768380.3032,165.8529089955918,0.08452032,3.0630195,0.15284477,165,1645768380.827549,165.8528287839291,34.835007,13.439500977153468,408.26987,408.26987,-9.577418,-6.3812265,165
1004,2022-02-25 06:03:00.304300,1645768980.3043,165.76112589536436,0.07456455,2.84918,0.12696049,165,1645768980.828588,165.7610456953928,41.324894,15.93918835678359,420.02646,420.02646,-8.687827,-14.407187,165
1005,2022-02-25 06:13:00.304300,1645769580.3043,165.66934565180193,0.0947632,2.5469432,0.13396178,165,1645769580.8296268,165.66926529523178,36.209892,13.96268282200544,411.27216,411.27216,-13.510026,-25.965233,165
1006,2022-02-25 06:23:00.304300,1645770180.3043,165.5775680982931,0.08424264,3.157906,0.14103815,165,1645770180.830666,165.57748758517877,35.763157,13.786837191023164,415.84558,415.84558,-24.541357,-29.884577,165
1007,2022-02-25 06:33:00.305400,1645770780.3054,165.48579306834765,0.07729362,2.6210043,0.13074532,165,1645770780.831705,165.4857125669095,37.341873,14.39169784072965,424.1219,424.1219,-23.936653,-19.691925,165
1008,2022-02-25 06:43:00.305400,1645771380.3054,165.39402090012447,0.11924577,2.8079782,0.1446397,165,1645771380.832744,165.3939402421429,34.17357,13.167198264533202,421.0552,421.0552,-11.284946,-34.13617,165
1009,2022-02-25 06:53:00.305500,1645771980.3054998,165.30225141182427,0.07937209,2.937396,0.12549107,165,1645771980.8337831,165.3021706125889,31.307173,12.059629711090102,433.49057,433.49057,-22.15377,-2.2006962,165
1010,2022-02-25 07:03:00.306500,1645772580.3065002,165.21048448276466,0.07727786,3.6791985,0.12159936,165,1645772580.834822,165.21040367993953,37.796272,14.555467158955803,429.98273,429.98273,-3.1818168,14.799533,165
1011,2022-02-25 07:13:00.306500,1645773180.3065002,165.11872040527277,0.09112077,3.6274257,0.12680471,165,1645773180.835861,165.11863944591877,37.100357,14.28375196766298,422.74548,422.74548,2.9484186,10.161868,165
1012,2022-02-25 07:23:00.306600,1645773780.3066,165.02695901280376,0.08214737,3.2437663,0.12950191,165,1645773780.8369,165.0268779122366,37.392773,14.392587739406135,422.5988,422.5988,-2.8468077,-8.775799,165
1013,2022-02-25 07:33:00.307600,1645774380.3075998,164.93520018473308,0.071379885,2.773798,0.1245866,164,1645774380.837939,164.93511908059045,35.125206,13.516276766878672,426.66772,426.66772,-12.08759,-26.249622,164
1014,2022-02-25 07:43:00.307600,1645774980.3075998,164.8434442133511,0.112153195,3.6284788,0.11568068,164,1645774980.838978,164.84336295270566,35.5369,13.671138568073774,419.00995,419.00995,7.966682,-9.266594,164
1015,2022-02-25 07:53:00.307600,1645775580.3075998,164.75169094742054,0.07323372,2.657842,0.121194646,164,1645775580.8400168,164.75160953029928,38.405727,14.770937948890202,426.38574,426.38574,-10.144485,-27.427406,164
1016,2022-02-25 08:03:00.308600,1645776180.3086,164.6599402357653,0.079664305,2.7734492,0.11040984,164,1645776180.841056,164.65985881506964,41.63371,16.008258314285637,422.8359,422.8359,7.8533077,-18.156574,164
1017,2022-02-25 08:13:00.308800,1645776780.3088,164.56819235533953,0.08878111,2.6017663,0.11732566,164,1645776780.8420951,164.56811080874752,38.949566,14.972298621020874,415.5029,415.5029,-13.239027,-24.030851,164
1018,2022-02-25 08:23:00.308800,1645777380.3088,164.47644721609066,0.088462025,3.464483,0.108798966,164,1645777380.843134,164.47636551305007,35.811665,13.7624964053435,406.68588,406.68588,-32.362045,-14.799247,164
1019,2022-02-25 08:33:00.309900,1645777980.3099,164.3847046209816,0.080821335,2.535323,0.114120536,164,1645777980.844173,164.38462292967992,40.037083,15.382324223323533,423.39877,423.39877,-5.5838966,-33.000534,164
1020,2022-02-25 08:43:00.309900,1645778580.3099,164.29296490812106,0.102109514,2.9948485,0.09588101,164,1645778580.845212,164.2928830603878,33.929012,13.032194515027356,407.88867,407.88867,-28.548754,-28.312439,164
1021,2022-02-25 08:53:00.309900,1645779180.3099,164.20122791103256,0.09364697,2.4292903,0.106189065,164,1645779180.84625,164.2011459070131,36.154366,13.88333667169702,415.83234,415.83234,-26.19451,-15.911761,164
1022,2022-02-25 09:03:00.311000,1645779780.311,164.10949346324412,0.070597485,3.2078643,0.117227316,164,1645779780.847289,164.10941147099223,35.621357,13.675093961735977,415.8286,415.8286,-31.64857,-12.472964,164
1023,2022-02-25 09:13:00.311000,1645780380.311,164.01776190285543,0.08544351,3.1524484,0.10868189,164,1645780380.848328,164.01767975418528,35.946682,13.79638775781211,408.12927,408.12927,-17.084288,3.0608137,164
1024,2022-02-25 09:23:00.311100,1645780980.3111,163.92603304810734,0.09939702,2.959769,0.101832956,163,1645780980.8493671,163.92595075832938,34.758846,13.337014791812315,411.57953,411.57953,-25.622654,5.187921,163
1025,2022-02-25 09:33:00.312100,1645781580.3121002,163.83430677844666,0.0931836,2.4517689,0.111808136,163,1645781580.850406,163.834224485135,34.90177,13.3883612771156,400.37546,400.37546,-23.627604,-1.2421297,163
1026,2022-02-25 09:43:00.312100,1645782180.3121002,163.74258338604503,0.10301372,2.5605958,0.09169008,163,1645782180.851446,163.74250093619352,34.603207,13.27036730385059,389.62796,389.62796,-28.226194,-18.735413,163
1027,2022-02-25 09:53:00.313200,1645782780.3132002,163.65086255160793,0.09087553,2.3005834,0.11181995,163,1645782780.852484,163.65078011369474,37.171684,14.251660143953757,395.46063,395.46063,-15.526491,3.7015603,163
1028,2022-02-25 10:03:00.313200,1645783380.3132002,163.55914461317803,0.078873396,2.796644,0.09469706,163,1645783380.853523,163.5590620188741,35.56482,13.632026416562134,412.6207,412.6207,-0.100882396,3.2104678,163
1029,2022-02-25 10:13:00.313200,1645783980.3132002,163.46742940429414,0.096125305,2.2813063,0.10236217,163,1645783980.854562,163.46734665365676,36.490395,13.983147555582912,420.80304,420.80304,-14.850128,6.81427,163
1030,2022-02-25 10:23:00.314300,1645784580.3142998,163.37571675859297,0.088165544,3.057564,0.099996634,163,1645784580.8556008,163.3756340197431,33.937145,13.001343445204508,439.8021,439.8021,-51.49335,8.778743,163
1031,2022-02-25 10:33:00.314300,1645785180.3142998,163.28400701407483,0.099298075,3.667484,0.100637436,163,1645785180.85664,163.2839241188795,36.82269,14.103111571371798,409.50204,409.50204,-30.092138,0.8744327,163
1032,2022-02-25 10:43:00.314400,1645785780.3144,163.19229998903225,0.1124652,3.3949842,0.097890854,163,1645785780.8576791,163.19221695278412,33.606266,12.867856035537097,422.42276,422.42276,6.9112916,-3.123542,163
1033,2022-02-25 10:53:00.315400,1645786380.3154,163.10059556293652,0.09973329,3.66971,0.09384863,163,1645786380.858718,163.1005125232045,29.203236,11.179010674046276,422.55847,422.55847,-20.304974,-34.719704,163
1034,2022-02-25 11:03:00.315400,1645786980.3154,163.0088940279132,0.082590334,2.7127209,0.098918304,163,1645786980.859757,163.00881083187846,30.076447,11.5102660533436,433.10764,433.10764,-29.296614,-26.8655,163
1035,2022-02-25 11:13:00.316500,1645787580.3165,162.91719506476846,0.09127182,3.040836,0.097096965,162,1645787580.860796,162.91711188054114,32.37047,12.384949286614171,422.9004,422.9004,-7.348437,-20.151114,162
1036,2022-02-25 11:23:00.316500,1645788180.3165,162.8254990114429,0.07848515,2.9819088,0.0954846,162,1645788180.861835,162.82541567090104,35.286037,13.496915579681811,431.78708,431.78708,3.8774505,13.064489,162
1037,2022-02-25 11:33:00.316500,1645788780.3165,162.73380570155675,0.092699364,2.9878163,0.08040801,162,1645788780.862874,162.73372220474033,32.96473,12.605715966558254,424.3331,424.3331,-0.12665518,11.787789,162
1038,2022-02-25 11:43:00.317600,1645789380.3176,162.6421149687669,0.06991241,2.530066,0.1097183,162,1645789380.863913,162.6420314837842,31.220888,11.935746697179765,447.0367,447.0367,2.7864735,16.791618,162
1039,2022-02-25 11:53:00.317600,1645789980.3176,162.55042715101382,0.06990452,2.3730423,0.09646756,162,1645789980.864952,162.55034350975777,32.881645,12.567363888974274,438.1037,438.1037,-2.1897998,6.3570046,162
1040,2022-02-25 12:03:00.318700,1645790580.3187,162.45874191384885,0.07574837,2.6315503,0.109769136,162,1645790400.865679,162.48616356333682,28.643167,10.945411564538407,443.4863,443.4863,-33.22984,-9.159042,162
1041,2022-02-25 12:13:00.318700,1645791180.3187,162.3670595951843,0.07491347,2.3089235,0.10794685,162,1645791180.86703,162.3669758094999,30.513285,11.656070271222676,427.18433,427.18433,-16.576296,-9.683726,162
1042,2022-02-25 12:23:00.318700,1645791780.3187,162.27538002868246,0.067783594,2.2946439,0.11336411,162,1645791780.8680692,162.27529608675445,29.889322,11.414726169332436,441.13358,441.13358,-6.4245214,-45.38793,162
1043,2022-02-25 12:33:00.319700,1645792380.3197,162.18370306329368,0.075958185,2.32964,0.09322324,162,1645792380.869108,162.18361911793005,28.30929,10.80847976582073,430.10825,430.10825,-11.903087,-20.233244,162
1044,2022-02-25 12:43:00.319700,1645792980.3197,162.09202900634816,0.07422307,2.7665055,0.10527153,162,1645792980.870147,162.0919449047574,31.442415,12.001560489857567,461.68988,461.68988,10.828568,6.152457,162
1045,2022-02-25 12:53:00.320900,1645793580.3209002,162.00035752346955,0.04998359,2.4304798,0.11197517,162,1645793580.871186,162.00027344901594,24.886444,9.496658531355717,458.76044,458.76044,-35.928295,5.8096886,162
1046,2022-02-25 13:03:00.320900,1645794180.3209002,161.9086889830872,0.06943013,1.924442,0.12486389,161,1645794180.872225,161.90860475242454,27.781675,10.598698497133062,421.50723,421.50723,-0.7628362,-2.7680647,161
1047,2022-02-25 13:13:00.320900,1645794780.3209002,161.81702320359355,0.08220786,1.8308133,0.12206318,161,1645794780.873264,161.81693881673286,28.3215,10.8018085061334,445.0845,445.0845,9.977914,7.310396,161
1048,2022-02-25 13:23:00.322000,1645795380.3219998,161.72536001870654,0.06775602,1.8535426,0.13573371,161,1645795380.8743029,161.72527564372177,27.940544,10.653716819169867,437.36304,437.36304,-0.16618745,-4.477686,161
1049,2022-02-25 13:33:00.322000,1645795980.3219998,161.63369976626524,0.061467167,1.6930983,0.12635489,161,1645795980.875342,161.63361523509846,24.904415,9.493551028923765,461.11945,461.11945,-31.133818,-7.4393024,161
1050,2022-02-25 13:43:00.323100,1645796580.3231,161.5420421119481,0.06048725,1.6553214,0.1546761,161,1645796580.876381,161.54195759266304,25.080475,9.558156209562334,433.27567,433.27567,-22.479374,-17.99364,161
1051,2022-02-25 13:53:00.323100,1645797180.3231,161.4503873935878,0.058190204,1.7427961,0.14878474,161,1645797180.87742,161.45030271813934,22.60691,8.613220971536144,454.81665,454.81665,-25.001593,-12.671437,161
1052,2022-02-25 14:03:00.324100,1645797780.3241,161.35873529215937,0.054576326,1.9687263,0.13743581,161,1645797780.878459,161.35865061328371,25.244535,9.615629665628296,434.83038,434.83038,-15.140548,-8.736538,161
1053,2022-02-25 14:13:00.324200,1645798380.3242,161.26708609961543,0.06253323,2.1652806,0.12736918,161,1645798380.879498,161.2670012798823,25.39019,9.668570043848334,447.20416,447.20416,-25.854904,-18.01087,161
1054,2022-02-25 14:23:00.324200,1645798980.3242,161.17543969551858,0.054194275,1.5546994,0.14064834,161,1645798980.880537,161.17535471966366,19.973888,7.604047784600598,451.7023,451.7023,-36.16255,-15.076627,161
