,times,lon,lat,rAU,sslon,sslat,ssrad,flon,flat,frad
272,2022-02-23 16:00:00,142.36822894775307,-3.6699600920344824,0.6392572631890936,187.1846996763256,-3.6699600920344806,0.009300934521924315,189.6325581711483,-12.398183031432309,0.004657566106739663
273,2022-02-23 16:30:00,142.10791677457402,-3.671375058194688,0.6390207490397645,187.8758659588428,-3.6713750581946862,0.009300934521924315,189.82428492498963,-12.409060672146314,0.004657790699885834
274,2022-02-23 17:00:00,141.84763078895068,-3.6727896876865684,0.6387841613522337,186.88341139215635,-3.6727896876865644,0.009300934521924315,189.5499149565994,-12.391348561283415,0.00465770195862223
275,2022-02-23 17:30:00,141.5873710281911,-3.6742039783818377,0.6385475001613241,187.3249129891147,-3.6742039783818377,0.009300934521924315,189.6707351232816,-12.403215352555087,0.0046574638509299425
276,2022-02-23 18:00:00,141.327137529634,-3.6756179281445664,0.63831076550205,188.41635929672668,-3.6756179281445633,0.009300934521924315,190.01197202811508,-12.384411240529476,0.004656600491774168
277,2022-02-23 18:30:00,141.0669303306916,-3.6770315348317615,0.6380739574095331,187.8018639198225,-3.6770315348317566,0.009300934521924313,189.80287430069495,-12.41122377601031,0.004657617944251566
278,2022-02-23 19:00:00,140.80674946886938,-3.6784447962929203,0.6378370759190608,186.61153652548728,-3.6784447962929203,0.009300934521924313,189.47556496045604,-12.384532605807358,0.004657926067854076
279,2022-02-23 19:30:00,140.54659498172717,-3.679857710370183,0.6376001210660552,185.19376238782493,-3.679857710370175,0.009300934521924311,189.09181908603873,-12.305015821188789,0.0046619018602296995
280,2022-02-23 20:00:00,140.28646690688484,-3.6812702748980004,0.6373630928861349,187.109833893013,-3.6812702748979933,0.009300934521924313,189.61099728180693,-12.40170673000001,0.004657394182337219
281,2022-02-23 20:30:00,140.02636528202197,-3.6826824877036275,0.6371259914150245,186.03309757721703,-3.6826824877036244,0.009300934521924315,189.3187498894186,-12.359930839896053,0.004659017314893731
282,2022-02-23 21:00:00,139.76629014492684,-3.684094346606715,0.6368888166886131,184.73500280406512,-3.684094346606711,0.009300934521924313,188.9738349611937,-12.270032088176483,0.004663973363972231
283,2022-02-23 21:30:00,139.5062415333846,-3.685505849419508,0.6366515687429277,184.0901936954371,-3.685505849419513,0.009300934521924315,188.84431567763914,-12.205137666980837,0.004667493825280186
