Time,lon,pdens,adens,pvel,avel,Ahe,vap,B,radius,BrR2,mag,edens,ed,Br,Bt,Bn,vr,vt,vn,vA,MA,use_dens,sigmac,sigmar
2022-02-24 06:00:00,62.05705339514592,9.528389588813756,0.11806221494269131,339.06530046103893,445.1634960079365,0.013003413305910152,106.09819554689756,211.08851432105288,0.10341127671989822,-1.9452886533749665,-1.9452886533749665,8.31691968459943,777.9299202357813,-181.85572372258267,-10.90371061299535,-55.09725422273739,339.06530046103893,-61.83024045735931,-19.83660346757677,172.39097598543086,1.973056699808375,777.9299202357813,0.352674803839688,-0.40725030410840124
2022-02-24 06:20:00,62.24889465771819,9.452307335890314,0.10543553848268071,339.74940806953464,432.2724219433171,0.012084879429199167,92.52301387378247,237.35937388058724,0.10282504778475143,-1.4734600323978333,-1.4734600323978333,8.533199454384034,806.824091149342,-139.29028260974067,-18.73819637512058,-139.54920846330867,339.74940806953464,-51.20213360772795,-54.049733076305465,192.85364889015648,1.803790459263875,806.824091149342,0.44394034957920847,-0.6573969897406394
2022-02-24 06:40:00,62.44839304035004,6.822475334452353,0.08344981400968117,342.34841025974026,449.5155163419913,0.014658411090848244,107.33775829423264,224.2989543498878,0.10223125620898026,-1.261611049292871,-1.261611049292871,7.369125612810575,704.8340574201495,-120.92359159759954,17.72361121697239,-79.65098056211978,342.34841025974026,-51.91809028292837,-25.534892295208074,194.7271774152997,1.838085070319678,704.8340574201495,0.6268500419866636,-0.6847855535425197
2022-02-24 07:00:00,62.653096998962056,5.278285106672981,0.08526429774285696,304.85086247767856,449.8118252421537,0.0167708532665951,144.9609627644751,233.16224231682074,0.10163808602399203,-2.0535767249112116,-2.0535767249112116,6.5573563671196755,634.704384145092,-198.8367323610028,83.6950128747019,-52.461967179703,304.85086247767856,-30.828408681865533,-11.570631779328059,210.19854395192974,1.4554208437237084,634.704384145092,0.6538418853672259,-0.5514120706731847
2022-02-24 07:20:00,62.863010339208664,7.381096015268856,0.09076610678519619,304.0982518761346,445.6482824724201,0.01260791949597508,141.5789702583438,230.03457148948414,0.10104559668157226,-2.0873287245839665,-2.0873287245839665,6.965350808560395,682.3421225428291,-204.4011188106316,15.710817152141365,-74.42108511312927,304.0982518761346,-49.01810401660523,-24.263896641138107,200.2936817453611,1.5244246989180683,682.3421225428291,0.6687191706182535,-0.4771085995637242
2022-02-24 07:40:00,63.07828658701474,8.226900185359646,0.08379559555883523,301.71940206439393,436.0038825541126,0.010530615340308688,134.28448048971862,230.56321858765614,0.10045384362307874,-2.08129582846568,-2.08129582846568,7.355150151646179,728.6210735546683,-206.2765817106785,-11.63251229522267,-31.852853499725672,301.71940206439393,-60.269623375,-1.9303366607947785,194.88612231455423,1.5561687934681512,728.6210735546683,0.7445734577304953,-0.12397738331488058
2022-02-24 08:00:00,63.30251548863366,8.068855645111627,0.08172545924022741,257.1575824303301,360.46321443046537,0.010402340530688102,103.30563200013529,244.4489478691719,0.09985347692688609,-2.3427602071508584,-2.3427602071508584,7.413017035366637,743.8273628197488,-234.98037593083518,44.49338758554063,-43.28442062461155,257.1575824303301,-14.38229052829586,-10.357393181491904,204.71602684302985,1.2540521289681301,743.8273628197488,0.523092813360956,0.2780640570363368
2022-02-24 08:20:00,63.52878150280294,9.88719010040729,0.08975916716878007,223.96585270074013,310.91893031420193,0.009104568731753335,86.95307761346182,247.61193287832126,0.09926333089930921,-2.3232836413415874,-2.3232836413415874,8.92488829096013,905.7634234529672,-235.7780542778746,58.3118769411143,-39.08295673114222,223.96585270074013,3.2485801426271257,-7.005922546505419,186.44580587434186,1.2014670583611204,905.7634234529672,0.8992333997690516,0.19042738640281862
2022-02-24 08:40:00,63.760691374331365,12.283308182693812,0.10023118274916866,215.12132365530303,292.2335071374459,0.008194418941480054,77.11218348214285,244.21829451370547,0.09867403910847718,-2.3037314650611944,-2.3037314650611944,9.661707641211928,992.4619896854249,-236.60618345875065,14.888515033941504,-1.625125941515233,215.12132365530303,-12.810139907351124,12.561117470439191,175.81465663650906,1.2241283877813884,992.4619896854249,0.853395613133285,0.13869028152375107
2022-02-24 09:00:00,63.998280128630064,14.451309881901928,0.10759025914048194,221.9473919152353,274.6739562602989,0.007469048276862516,52.72656434506354,240.44537472153817,0.09808567189307076,-2.0929201662534873,-2.0929201662534873,10.754220725591278,1118.0755790223504,-217.47132558977006,5.269046146949487,-51.850797682153605,221.9473919152353,-20.375627159461875,-17.800009110531352,163.45059993283772,1.3698995166689498,1118.0755790223504,0.9171866867863254,-0.07696692817800618
