 r	t	p
   1.0000000000000000      	   1.3013159942003885      	   1.5141221223452170
   1.0000000000000000      	   1.2948932954851031      	   1.5248838465889236
   1.0000000000000000      	   1.2996071551948891      	   1.5165930059409309
   1.0000000000000000      	   1.2952604369017235      	   1.5241848003597829
   1.0000000000000000      	   1.2954509907673488      	   1.5238244956482607
   1.0000000000000000      	   1.3008454599675758      	   1.5148088666741890
   1.0000000000000000      	   1.3019527429225510      	   1.5132685041708474
   1.0000000000000000      	   1.2953231672389975      	   1.5240878012458026
   1.0000000000000000      	   1.3016096966399844      	   1.5137499580112335
   1.0000000000000000      	   1.3036670005424280      	   1.5110167380077659
   1.0000000000000000      	   1.3044658575640342      	   1.5100095029437717
   1.0000000000000000      	   1.3084714325145381      	   1.5054634729052294
   1.0000000000000000      	   1.3182401087895936      	   1.4969227219346217
   1.0000000000000000      	   1.3050672599008646      	   1.5092815058506166
   1.0000000000000000      	   1.3132178513742137      	   1.5010278619108368
   1.0000000000000000      	   1.3107826046931597      	   1.5032314564943439
   1.0000000000000000      	   1.3110409779888559      	   1.5029942315158160
   1.0000000000000000      	   1.3097595648604194      	   1.5042104336088564
   1.0000000000000000      	   1.3190185055158372      	   1.4963449977149781
   1.0000000000000000      	   1.3074162378706073      	   1.5066033052574868
   1.0000000000000000      	   1.3081441391223154      	   1.5058368839102882
   1.0000000000000000      	   1.3103522612488856      	   1.5036596294193896
   1.0000000000000000      	   1.3219995308381933      	   1.4941582929297577
   1.0000000000000000      	   1.3215961333807575      	   1.4944514801484121
   1.0000000000000000      	   1.3108811773325297      	   1.5031739097418588
   1.0000000000000000      	   1.3220233753391299      	   1.4941507580470117
   1.0000000000000000      	   1.3360267384421003      	   1.4852231375543914
   1.0000000000000000      	   1.3260750203042957      	   1.4913680117481658
   1.0000000000000000      	   1.3558148885799159      	   1.4749521990867256
   1.0000000000000000      	   1.3653971265843132      	   1.4703264611442990
   1.0000000000000000      	   1.3383177754485214      	   1.4839391881647908
   1.0000000000000000      	   1.3433324711655583      	   1.4812212836098855
   1.0000000000000000      	   1.3436011242187453      	   1.4810853525543122
   1.0000000000000000      	   1.4067173592199242      	   1.4511649281408154
   1.0000000000000000      	   1.4036402065213391      	   1.4526420061711796
   1.0000000000000000      	   1.3909474655163667      	   1.4585910151374133
   1.0000000000000000      	   1.3837000580345717      	   1.4619127959256843
   1.0000000000000000      	   1.3692956633567104      	   1.4685188096989730
   1.0000000000000000      	   1.3678734529493422      	   1.4691901545433230
   1.0000000000000000      	   1.4808422305209907      	   1.4102439426683757
   1.0000000000000000      	   1.4074176342396374      	   1.4508481431254641
   1.0000000000000000      	   1.4953949043646866      	   1.4010497364450951
   1.0000000000000000      	   1.4042642028113106      	   1.4523679624279460
   1.0000000000000000      	   1.4666564823182433      	   1.4188917031066368
   1.0000000000000000      	   1.4864468834593243      	   1.4067345070926982
   1.0000000000000000      	   1.6957315164592512      	   1.1323167046750477
   1.0000000000000000      	   1.6909975244917335      	   1.1397097057997563
   1.0000000000000000      	   1.7064588217359571      	   1.1154566746028476
   1.0000000000000000      	   1.7257783730263121      	   1.0827547592533306
   1.0000000000000000      	   1.7135373178977829      	   1.1039463495663147
   1.0000000000000000      	   1.7417223796241841      	   1.0522579730660777
   1.0000000000000000      	   1.8455520536637422      	  0.81507656649311266
   1.0000000000000000      	   1.8548367662283467      	  0.78712204160217536
   1.0000000000000000      	   1.8621165550854282      	  0.76469156564254392
   1.0000000000000000      	   1.8491271662717113      	  0.80445563122289798
   1.0000000000000000      	   1.8436266788872318      	  0.82063327008397802
   1.0000000000000000      	   1.8593531994055441      	  0.77347259500341947
   1.0000000000000000      	   1.8632553155497436      	  0.76098775946833153
   1.0000000000000000      	   1.8666263014984734      	  0.74923985527666237
   1.0000000000000000      	   1.8682674718494288      	  0.74335327395345974
   1.0000000000000000      	   1.8690152406579648      	  0.74079772012722567
   1.0000000000000000      	   1.8691132264388450      	  0.74048283829508177
   1.0000000000000000      	   1.8683131763913527      	  0.74322850887168956
   1.0000000000000000      	   1.8701827911367337      	  0.73712244789498349
   1.0000000000000000      	   1.8696798991779047      	  0.73868155837180882
   1.0000000000000000      	   1.8688597404020002      	  0.74138087770863281
   1.0000000000000000      	   1.8673921680766683      	  0.74656022789128507
   1.0000000000000000      	   1.8679930454746558      	  0.74441887364109205
   1.0000000000000000      	   1.8710294718682989      	  0.73474080545570508
   1.0000000000000000      	   1.8707551767331434      	  0.73551993425510487
   1.0000000000000000      	   1.8722527861613769      	  0.73161964842333338
   1.0000000000000000      	   1.8722140017980884      	  0.73172355969720226
   1.0000000000000000      	   1.8739322487168635      	  0.72807638164861410
   1.0000000000000000      	   1.8765548004121277      	  0.72395058445249227
   1.0000000000000000      	   1.8733958396634969      	  0.72914586288639449
   1.0000000000000000      	   1.8804678997037612      	  0.71975902317644269
   1.0000000000000000      	   1.8749069753556591      	  0.72640876432271961
   1.0000000000000000      	   1.8742157603109524      	  0.72760813289654025
   1.0000000000000000      	   1.8791005228151516      	  0.72104749061488271
   1.0000000000000000      	   1.8770544358684711      	  0.72336261821152803
   1.0000000000000000      	   1.8784012546894098      	  0.72179264187784786
   1.0000000000000000      	   1.8808512723945854      	  0.71949390379044531
   1.0000000000000000      	   1.8835880877039346      	  0.71743825707551112
