 r	t	p
   1.0000000000000000      	   1.1838751254757685      	   4.1393764223389899
   1.0000000000000000      	   1.1833999507005539      	   4.1247601395482345
   1.0000000000000000      	   1.1838082347027090      	   4.1375751411172015
   1.0000000000000000      	   1.1835819758804820      	   4.1307504791480101
   1.0000000000000000      	   1.1842921345662418      	   4.1481975897511960
   1.0000000000000000      	   1.1841169099445281      	   4.1448744496170074
   1.0000000000000000      	   1.1838719689351147      	   4.1391143655738647
   1.0000000000000000      	   1.1840470587060863      	   4.1433102234975667
   1.0000000000000000      	   1.1840995464036501      	   4.1444377969720056
   1.0000000000000000      	   1.1838499066054333      	   4.1384521616271552
   1.0000000000000000      	   1.1835138999190864      	   4.1281735853836894
   1.0000000000000000      	   1.1838523058373318      	   4.1384527115474246
   1.0000000000000000      	   1.1836164372539135      	   4.1315076222394422
   1.0000000000000000      	   1.1835032181084213      	   4.1276811487456966
   1.0000000000000000      	   1.1833408785762036      	   4.1221343230393614
   1.0000000000000000      	   1.1836077696095566      	   4.1310927264426445
   1.0000000000000000      	   1.1834423618039593      	   4.1254980401022436
   1.0000000000000000      	   1.1835533733352650      	   4.1291945161662094
   1.0000000000000000      	   1.1838188365106523      	   4.1059753680853266
   1.0000000000000000      	   1.1871851681113683      	   4.0708285325763924
   1.0000000000000000      	   1.1840684585254155      	   4.1022312841427624
   1.0000000000000000      	   1.1847918536594637      	   4.0908281630960426
   1.0000000000000000      	   1.1844493032305601      	   4.0963543432786782
   1.0000000000000000      	   1.1845572450066570      	   4.0946606750057493
   1.0000000000000000      	   1.1858135436110842      	   4.0794995435156043
   1.0000000000000000      	   1.1850227301770624      	   4.0871928276774092
   1.0000000000000000      	   1.1849710848538164      	   4.0880662242828958
   1.0000000000000000      	   1.1865255672984503      	   4.0749737402576205
   1.0000000000000000      	   1.1892860136100687      	   4.0576176146351388
   1.0000000000000000      	   1.1862530521075909      	   4.0767145370897353
   1.0000000000000000      	   1.1932662302792030      	   4.0377326589877027
   1.0000000000000000      	   1.1967403154126504      	   4.0243542088615092
