,Time,timestamps,lon,BrR2,Br,Bn,Bt,B,olon
0,2022-02-18 00:01:02.500,1645142400.1119978,,2.4432526891066506,4.975278,7.0034924,-4.9500146,9.914884846247832,262.7992159447881
1,2022-02-18 00:03:07.500,1645142525.110999,246.0082906901164,3.832769529650676,7.8051314,0.70827925,-7.378036,10.763695967674977,262.77966664009085
2,2022-02-18 00:05:12.500,1645142650.1099992,246.31336854007452,3.157908220363676,6.4311047,-1.0001917,8.0356245,10.340732672500108,262.76011739588705
3,2022-02-18 00:07:17.500,1645142775.1080031,245.44616454364797,2.8856815642051443,5.876964,3.445882,7.9304137,10.45486824729837,262.7405683678078
4,2022-02-18 00:09:22.500,1645142900.107003,243.69824374934166,2.6529192466383167,5.4031525,1.553285,8.994891,10.607300096224405,262.7210192443111
5,2022-02-18 00:11:27.500,1645143025.106003,243.33467297506147,-2.425439004862345,-4.9400587,8.520414,4.2012186,10.707561459820235,262.7014701811788
6,2022-02-18 00:13:32.500,1645143150.103998,244.0854373705069,-2.679719391311871,-5.4582024,8.885201,-3.858275,11.118680507388984,262.68192133560774
7,2022-02-18 00:15:37.500,1645143275.102998,244.7915541012591,-1.1924906215681712,-2.4290354,6.7081385,-7.930586,10.667404999015991,262.6623723932307
8,2022-02-18 00:17:42.500,1645143400.101998,244.85894354094313,2.003910296084159,4.0820255,2.269324,-10.3384695,11.344457466183938,262.6428235112576
9,2022-02-18 00:19:47.500,1645143525.100002,244.37040760487045,0.7287083575410802,1.4844643,-0.2877836,-11.044857,11.147884095596458,262.6232748454382
10,2022-02-18 00:21:52.500,1645143650.099002,244.58175809821876,1.9681178804621555,4.009458,-6.527436,-8.495302,11.439114050443942,262.6037260842676
11,2022-02-18 00:23:57.500,1645143775.096997,244.81303036690633,1.2074882283412582,2.4600053,-5.9922986,-9.851369,11.79019676518382,262.58417754068023
12,2022-02-18 00:26:02.500,1645143900.0959969,244.04220566470377,1.847932308877824,3.7649374,-10.260221,-3.2100632,11.39084695458393,262.5646289003296
13,2022-02-18 00:28:07.500,1645144025.094997,244.02879041602455,1.0777040310192405,2.1957848,-1.9082341,-12.309626,12.648704302346143,262.5450803204219
14,2022-02-18 00:30:12.500,1645144150.093001,244.73657073186325,1.8133720038557133,3.694841,2.2306643,-11.3032,12.099175322086026,262.52553195672186
15,2022-02-18 00:32:17.500,1645144275.0920022,244.72119305596348,2.714683049798607,5.531546,3.1834064,-10.576756,12.353130977254834,262.5059834975305
16,2022-02-18 00:34:22.500,1645144400.0910022,244.24100679163092,2.36856822956261,4.826495,1.7339183,-11.198634,12.317099095243812,262.48643509896
17,2022-02-18 00:36:27.500,1645144525.0889962,244.78122271768115,1.2663487935242057,2.5805833,5.8179874,-10.031937,11.880578585522114,262.466886918184
18,2022-02-18 00:38:32.500,1645144650.087996,245.29144672578795,0.8378567362023237,1.7074692,1.7973175,-10.816248,11.096712218592446,262.4473386405293
19,2022-02-18 00:40:37.500,1645144775.086996,245.38123498074035,2.8427547041372248,5.793501,4.217277,-7.8047147,10.595454246049393,262.4277904233671
20,2022-02-18 00:42:42.500,1645144900.085001,245.28001317429985,3.149833566988746,6.4195986,3.057162,-9.15992,11.595758711087688,262.4082424223039
21,2022-02-18 00:44:47.500,1645145025.084001,245.365248320341,3.1035436238784784,6.3255267,0.24662736,-9.774195,11.6450848423332,262.3886943261339
22,2022-02-18 00:46:52.500,1645145150.0830011,244.82742754846407,3.796646194193647,7.7385135,1.5456101,-8.320865,11.467793864520292,262.3691462904518
23,2022-02-18 00:48:57.500,1645145275.080995,244.52482035736327,2.678256525012079,5.4591894,5.0370846,-9.19615,11.82134277462292,262.34959847260984
24,2022-02-18 00:51:02.500,1645145400.079995,244.13385515202586,2.6930609603510507,5.4896007,4.587653,-9.108442,11.582141061186118,262.33005055795485
25,2022-02-18 00:53:07.500,1645145525.078995,244.1878029931744,2.165481904514513,4.4143596,4.571583,-9.600166,11.51299826420369,262.31050270382536
26,2022-02-18 00:55:12.500,1645145650.077,244.37504594558888,3.732155697296464,7.6083674,4.6101885,-7.4442744,11.59992732052276,262.2909550658407
27,2022-02-18 00:57:17.500,1645145775.076,245.00068816342124,2.284209003185882,4.6567845,3.3778117,-9.8221855,11.382907438633918,262.2714073327998
28,2022-02-18 00:59:22.500,1645145900.075,245.57236167546773,1.951134190085276,3.9779198,4.6898127,-9.656737,11.448613828035354,262.2518596603099
29,2022-02-18 01:01:27.500,1645146025.073004,244.7909251642609,3.8810541351913135,7.912927,2.2816699,-8.176878,11.605247307437228,262.2323122041252
30,2022-02-18 01:03:32.500,1645146150.072005,244.66532948759024,2.131048052882861,4.345095,6.270747,-7.671286,10.818999371052296,262.2127646526058
31,2022-02-18 01:05:37.500,1645146275.0709949,244.4974661983057,3.821440644200535,7.7920504,5.6715918,-5.775564,11.235663865569466,262.1932171633639
32,2022-02-18 01:07:42.500,1645146400.0689988,244.97596643994646,2.2431518936614707,4.5740604,6.9221535,-6.665789,10.64288403643164,262.173669888899
33,2022-02-18 01:09:47.500,1645146525.067999,244.28981788564138,4.203048323955825,8.570895,4.1601458,-5.3804135,10.94147629935124,262.1541225192776
34,2022-02-18 01:11:52.500,1645146650.0660028,244.44404312014845,1.9481287080710872,3.9728122,-0.15942378,-10.75411,11.46558043058433,262.1345753660128
35,2022-02-18 01:13:57.500,1645146775.065004,244.81955248528453,3.2095622399175694,6.5455294,-3.6989014,-8.323815,11.21658249412054,262.1150281174425
