bins,Unnamed: 0.1,Unnamed: 0,lon,pdens,adens,pvel,avel,Ahe,vap,B,radius,BrR2,mag,edens,ed,Br,Bt,Bn,vr,vt,vn,vA,MA,olon
141,5445.0,5445.0,141.5291134323796,3.538213806147747,0.02151848190445635,297.90262483806316,420.9874773985891,0.006302622023270362,123.10933434503768,646.4689071570733,0.06384303825263593,2.5709766792252484,2.5709766792252484,3.552311946060214,871.5438416205436,630.7648818741341,-54.659378814108244,-7.007665962863767,297.90262483806316,-29.844431644236252,-1.4798986557657525,496.13588367805966,0.6005621320642931,140.5572726213532
142,5474.5,5474.5,142.49161070538844,3.500464064256222,0.01968330104741562,293.5466013244048,408.63557085565475,0.005707409411203425,115.08896953125,643.1810724804415,0.06405609582910173,2.568971632394631,2.568971632394631,3.5406238360510223,862.880840368727,626.094973485057,-87.40293839607085,23.414298516058103,293.5466013244048,-7.333177775365802,-32.413245359655704,496.09477262403266,0.5918678417864602,141.44744658851383
143,5500.0,5500.0,143.4092319492891,3.489510431275055,0.017651497593397337,284.67283465481887,406.33834302460696,0.005177349061167348,121.66550836978813,639.6164326891726,0.06424751825765938,2.583084285393123,2.583084285393123,3.439529580744853,833.2988013088053,625.7882570417423,-49.119783744996255,14.970398353112548,284.67283465481887,-28.4689877011301,-27.12031702307701,502.268606983952,0.5673175131860074,142.21204449435376
144,5528.321428571428,5528.321428571428,144.57876101629367,3.0731733717001,0.015165832054468047,273.0537190785405,395.19937716604824,0.005196682381046335,122.2350095485467,640.6953855223312,0.06447572686743716,2.5428212612611554,2.5428212612611554,3.1880391487066313,766.4675910122814,611.9475734584081,-23.933176599475665,-16.336760991905578,273.0537190785405,-38.12753246068259,-1.4290238903772392,526.0085062102369,0.5264110117178956,143.0688332040445
145,5579.802816901409,5579.802816901409,145.67657668528827,4.0314431198064105,0.025040352521993568,311.4823686561795,435.5882546006341,0.006127483159416406,124.16201349521371,622.6976604404836,0.06494412074233422,2.479666720059382,2.479666720059382,3.9027916246935885,924.5784204099807,588.2070813233345,-31.544749560345096,16.229384393897515,311.4823686561795,-36.195300224627154,-14.633061883725137,467.3814281359378,0.6816441459165999,144.7319585713319
146,5614.780487804878,5614.780487804878,146.3870128942563,4.122300560308988,0.02660199097236863,341.454757877732,494.8897362897265,0.006934094210085976,153.59689802871924,608.9174237082618,0.06528560199930936,2.37747745809017,2.37747745809017,4.13649381350173,970.010692556346,558.2998869185136,-24.88304687939284,82.71737542622527,341.454757877732,-52.03999098232182,-59.10649676807254,444.1423356165167,0.7788666411693222,145.85344336879436
147,5666.235294117647,5666.235294117647,147.49142726672076,4.079132758988076,0.027802532749475476,375.58991849630763,541.2878104475427,0.0073140168584365384,165.69789195123505,589.2365397484728,0.06580443636218891,2.381405335874659,2.381405335874659,4.33338824714223,1000.6477804905453,550.088180545169,-46.745075590377674,30.82742019137896,375.58991849630763,-43.685408612950084,-16.976846812851413,422.2649970523999,0.890855697666744,147.48146631026265
148,5696.48,5696.48,148.64152928206795,5.184890420058648,0.036689111608558825,352.53592503463204,510.83608062424247,0.00746812781400748,158.3001555896104,573.513732031679,0.06611021304901596,2.318506479748306,2.318506479748306,5.005733801398229,1145.092791289382,530.5677886385223,-41.869539064519806,49.58329251091085,352.53592503463204,-47.026214523017316,-36.777512824068396,385.5541457498793,0.9167492292815923,148.37536536166832
149,5720.592592592592,5720.592592592592,149.31395039291365,4.532735740882158,0.03701302840159441,366.6160494163861,544.8184406044574,0.00912656302742164,178.20239118807118,579.9014874160816,0.06640460662971533,2.190180907538086,2.190180907538086,5.3406987973609,1211.1920621282934,496.8331233533246,-173.90296514091693,110.68422627974309,366.6160494163861,3.1594286637833915,-80.75455101697955,377.53151527141097,0.9703632643590484,149.1985626062433
150,5747.461538461538,5747.461538461538,150.3744934744846,4.332781667108106,0.03751734563614389,350.80025744755244,517.4738053080254,0.009078538541614115,166.67354786047284,569.1936044473916,0.0667347773229168,2.1261846411770113,2.1261846411770113,5.3482021058491505,1200.735478757705,477.616425862069,-211.2093549720336,143.7141221566092,350.80025744755244,32.743698211838165,-95.53030014446288,372.4701157458231,0.9428666422508909,150.08750068436262
151,5770.395348837209,5770.395348837209,151.5562724426419,6.686870128682793,0.05891707845354402,311.1071787893889,449.60575920316114,0.008896737292904777,138.49858041377226,574.6316861630147,0.06697719180140531,2.3473406990070185,2.3473406990070185,5.970451871185175,1331.1087934444688,523.4005319784593,-13.23755930293263,17.082669838241785,311.1071787893889,-30.772836884097657,-14.697706478827644,357.8623466480212,0.8711441530138943,150.71888710368623
152,5809.787878787879,5809.787878787879,152.49974003089525,5.7208860119423415,0.037667132552968594,322.02511626721764,452.4976383366129,0.0065333095830918215,130.47252206939524,568.8023343115126,0.06740309195537689,2.3637699167701864,2.3637699167701864,5.329973298927109,1173.4347558598417,520.7848000001159,-52.20528816322574,2.420620629734027,322.02511626721764,-24.707225590664436,-1.7718179511314471,376.82837397030835,0.8544625715654194,151.78283347063274
153,5836.310344827586,5836.310344827586,153.4977988945757,4.986258106549157,0.025896607274223316,299.3805687005523,424.8342972271981,0.005394514159869456,125.45372852664576,568.3651823300663,0.06769481337591556,2.5105799091426997,2.5105799091426997,4.707549311046957,1027.305582246978,547.8812342438812,-58.86461477079425,2.676154959757867,299.3805687005523,-26.549304773164057,1.0196173592401847,401.8293974154221,0.7451835302385714,152.49360718124518
154,5876.790697674419,5876.790697674419,154.45328894223803,4.983340793430782,0.031528872243622795,308.87696117436826,437.7382757112655,0.006541755357782339,128.8613145368972,562.2676566589641,0.06815556315631724,2.3409887646061875,2.3409887646061875,5.0446390830020995,1085.578547767054,504.2308188264706,-55.972010319630954,-12.026701198517971,308.87696117436826,-23.963464664634554,1.814543247857647,387.34309318815866,0.8018513245086275,153.56035200666193
155,5911.911764705882,5911.911764705882,155.39459718249398,6.476047985144372,0.04142524294588968,306.8953004558187,435.7914542188694,0.006440762395633104,128.89615376305068,550.4966030472569,0.06856688459689057,2.3554262100867076,2.3554262100867076,5.516124396211565,1173.2967895779193,501.2838078460978,22.922740961323104,-19.956744986696577,306.8953004558187,-48.646394543232745,8.758483627567484,364.1022895603106,0.8430128350701016,154.4764528689549
