Time,Unnamed: 0,timestamps,lon,BrR2,Br,Bn,Bt,B,olon
2022-02-18 00:00:00,42.5,1645147716.1887789,244.54861256536552,2.985284357228731,6.091468397674419,1.7446876245348837,-5.638550711627907,10.87782252087195,261.9678766151926
2022-02-18 03:00:00,129.0,1645158649.9377809,243.73275062567808,3.3218886303148927,6.799991152238807,-1.8995861760298507,-2.0166351897014927,10.662714677706095,260.25834146691585
2022-02-18 06:00:00,215.5,1645169462.3212557,241.9067648683701,,,,,,258.5682433401253
2022-02-18 09:00:00,302.0,1645180274.704103,240.6075614443968,,,,,,256.878610785597
2022-02-18 12:00:00,388.5,1645191087.0867903,239.77244186908484,,,,,,255.18944727912606
2022-02-18 15:00:00,474.5,1645201836.9701858,237.6543729177282,,,,,,253.51051938109464
2022-02-18 18:00:00,561.0,1645212649.35293,235.16364376404172,,,,,,251.82231013014956
2022-02-18 21:00:00,647.5,1645223461.7358718,231.56836949945745,,,,,,250.13458620761358
2022-02-19 00:00:00,734.0,1645234274.1191607,230.49761750077604,,,,,,248.44735506066112
2022-02-19 03:00:00,820.5,1645245086.5026276,229.50601418717545,,,,,,246.76062045615186
2022-02-19 06:00:00,906.5,1645255836.3867784,228.7948931021161,1.1434223938465473,2.425719347091035,1.0070229697586206,-5.757987168965517,8.767018573955585,245.0841351094334
2022-02-19 09:00:00,993.0,1645266648.7698848,225.89521405078403,1.8503207865941171,3.9354953388528733,2.8482692678160917,-3.753352232689655,9.293017749142036,243.39841082434282
2022-02-19 12:00:00,1079.5,1645277461.1525812,223.41989758607033,2.1071883874293458,4.4981273379651165,-0.15600596426744187,-2.34693355127907,8.25371422377222,241.71320042143307
2022-02-19 15:00:00,1166.0,1645288273.5350683,221.59792834416177,0.4992027982664552,1.0690426777471265,2.81978002,-6.460206090804598,8.369441660296738,240.02851176341707
2022-02-19 18:00:00,1252.5,1645299085.9184766,221.05329278184493,2.2569911371008997,4.8570304276744185,-0.08799111483720928,-2.0471193594186046,7.717903765800854,238.34434862018125
2022-02-19 21:00:00,1338.5,1645309835.8025343,220.19638805993057,2.2944246104428294,4.956516261383721,2.7404557171860464,-1.1916937571627906,7.420807237478022,236.67044911370274
2022-02-20 00:00:00,1425.0,1645320648.1844592,219.00827068612355,2.082711378115984,4.516297479195402,-1.089236685862069,-2.1644354964367816,7.944192627383918,234.98735560427417
