,Time,Time.1,lon,use_dens,vr,vt,vn,sigmac,sigmar,bins,olon
0,2022-02-18 00:01:40,2022-02-18 00:01:40,246.35656747635153,10.508412516129033,544.7014538709677,-38.80186409354839,-51.94798322580645,,,,262.77362398720413
1,2022-02-18 00:03:45,2022-02-18 00:03:45,245.8611456735938,11.367731467741937,552.8430561290323,-101.3624991935484,-38.20131170967742,,,,262.75423096702224
2,2022-02-18 00:05:50,2022-02-18 00:05:50,246.51136686273455,10.916619193548389,541.4667664516129,-95.79110741935484,-39.954508806451614,,,,262.73483800617856
3,2022-02-18 00:07:55,2022-02-18 00:07:55,245.01019444428673,9.6242376875,567.312323125,-77.70777162499999,-67.284981375,,,,262.7151323167054
4,2022-02-18 00:10:00,2022-02-18 00:10:00,243.16865710373398,9.492246483870968,602.6886296774194,-44.927053541935486,-85.3668964516129,,,,262.6954266882324
5,2022-02-18 00:12:05,2022-02-18 00:12:05,243.40649702885057,9.532252725806453,597.4354474193548,-20.16458436935484,-84.1927320967742,,,,262.6760339075508
6,2022-02-18 00:14:10,2022-02-18 00:14:10,244.38646099241464,9.988036306451612,577.851904516129,6.576741662903226,-69.8913420967742,,,,262.6566411862948
7,2022-02-18 00:16:15,2022-02-18 00:16:15,244.96870050055173,10.678453828125,566.6706515625,17.96587269375,-40.93152546875,,,,262.63693574026115
8,2022-02-18 00:18:20,2022-02-18 00:18:20,244.81208835391627,11.132916161290323,569.187905483871,15.59027423870968,-16.451215748387096,,,,262.61723035527825
9,2022-02-18 00:20:25,2022-02-18 00:20:25,244.1847276758506,11.868174338709675,580.6005654838709,7.0282679258064515,10.815832658709676,,,,262.59783781426563
10,2022-02-18 00:22:30,2022-02-18 00:22:30,244.75533016759616,11.399709064516127,569.5273203225806,3.3043552774193548,-23.598445456451618,,,,262.57844533269594
11,2022-02-18 00:24:35,2022-02-18 00:24:35,244.83785859694132,11.03701721875,567.66053,-5.292329813437499,-25.148408328125,,,,262.5587401302468
12,2022-02-18 00:26:40,2022-02-18 00:26:40,243.71316572256345,10.45229256451613,588.637490967742,18.384215165806452,-27.64009910967742,,,,262.5390349888935
13,2022-02-18 00:28:45,2022-02-18 00:28:45,244.16628101803357,10.215750290322582,579.4897903225806,21.104801612903223,-38.04561187096775,,,,262.51964268767426
14,2022-02-18 00:30:50,2022-02-18 00:30:50,244.9878963354892,9.86565633870968,563.8883119354839,10.410503441935484,-54.21393119354839,,,,262.50025044592604
15,2022-02-18 00:32:55,2022-02-18 00:32:55,244.60814743165227,9.917480734375,570.4754828125,12.5247550340625,-54.6267779375,,,,262.48054548719523
16,2022-02-18 00:35:00,2022-02-18 00:35:00,244.08613380813688,9.87961662903226,579.9231270967742,14.28503629032258,-54.841775193548386,,,,262.4608405895775
17,2022-02-18 00:37:05,2022-02-18 00:37:05,245.0893350423948,9.752935370967744,561.0328167741935,-12.04585048935484,-61.179672,,,,262.441448528262
18,2022-02-18 00:39:10,2022-02-18 00:39:10,245.378972879711,9.778298258064517,555.5664125806451,-8.948022663548388,-58.26401425806451,,,,262.4220565264581
19,2022-02-18 00:41:15,2022-02-18 00:41:15,245.38220907081444,10.262613421875,555.173826875,5.50730623984375,-42.2456349375,,,,262.4023518115716
20,2022-02-18 00:43:20,2022-02-18 00:43:20,245.2363677174426,10.384799967741936,557.4000316129031,8.120312621193548,-38.36393777419355,,,,262.3826471578467
21,2022-02-18 00:45:25,2022-02-18 00:45:25,245.42087479943046,9.951721596774194,553.8288648387097,1.2730865629032255,-51.321455774193545,,,,262.36325533658066
22,2022-02-18 00:47:30,2022-02-18 00:47:30,244.57952724209946,9.560219758064516,568.5323896774194,4.775533338709677,-64.53547651612904,,,,262.34386357484476
23,2022-02-18 00:49:35,2022-02-18 00:49:35,244.5014086390059,9.482163375,569.6168881250001,6.746400446875,-64.77865390625,,,,262.3241591039437
24,2022-02-18 00:51:40,2022-02-18 00:51:40,243.97880770800774,10.008253274193548,579.0487174193548,16.753766111935484,-47.01768219354839,,,,262.304454694215
25,2022-02-18 00:53:45,2022-02-18 00:53:45,244.27836946541825,9.89167791935484,573.0417903225806,17.149018301612905,-42.77191287096774,,,,262.2850631131128
26,2022-02-18 00:55:50,2022-02-18 00:55:50,244.41671958458153,9.041577832258064,570.1189203225806,5.06431524516129,-66.07950799999999,,,,262.26567159158037
27,2022-02-18 00:57:55,2022-02-18 00:57:55,245.25808957499916,9.472880171875,554.6616071875,2.2776068203125,-48.19228646875,,,,262.2459673647718
28,2022-02-18 01:00:00,2022-02-18 01:00:00,245.70912733302094,9.00052291935484,546.5641325806452,-9.324075648387096,-58.585837064516134,,,,262.2262631991902
29,2022-02-18 01:02:05,2022-02-18 01:02:05,244.41279412210704,8.48555840967742,569.1319651612903,-4.938016991935484,-76.74545790322581,,,,262.20687185839176
30,2022-02-18 01:04:10,2022-02-18 01:04:10,244.77496163286224,8.573512587096774,562.2008274193548,-6.966546117096774,-72.02026061290323,,,,262.1874805771862
31,2022-02-18 01:06:15,2022-02-18 01:06:15,244.37990075412293,9.276935140625,569.0322003125,6.476947240625,-58.4497053125,,,,262.16777659462065
32,2022-02-18 01:08:20,2022-02-18 01:08:20,245.23883190303224,9.22128343548387,553.3257048387097,-7.020510499999999,-54.70837372903226,,,,262.1480726733094
33,2022-02-18 01:10:25,2022-02-18 01:10:25,243.8997428850941,10.079309403225809,577.2777751612904,15.029263322580643,-38.02483620967742,,,,262.1286815729144
