Time,timestamps,lon,BrR2,Br,Bn,Bt,B,sigmac,sigmar
2022-02-18 00:00:00,1645142962.6063,262.71124498595975,1.1407500885847317,2.32308239,3.7806040850000002,-1.63380903,10.706747035795129,,
2022-02-18 00:20:00,1645144150.0933323,262.52553210640275,1.6780079179604375,3.4190133333333335,-1.1027662,-9.754792799999999,11.89061758569523,,
2022-02-18 00:40:00,1645145337.5806985,262.3398247255597,2.839707636964336,5.788336119999999,3.594080996,-8.988764960000001,11.465202235119532,,
2022-02-18 01:00:00,1645146525.0677788,262.154122755683,3.0558427328253046,6.2314809888888885,0.47859831333333325,-6.2204924888888895,11.139356171909759,,
2022-02-18 01:20:00,1645147712.5549998,261.96842632881874,4.032664242663357,8.22691391,-1.082542475,-5.66753149,11.098126750992229,,
2022-02-18 01:40:00,1645148962.5416982,261.77296224779303,3.688702711576416,7.52827338,1.3346415,-5.64222129,10.479786622402221,,
2022-02-18 02:00:00,1645150150.0288875,261.58727697723015,3.9023965099094196,7.96767638888889,4.00714303,-5.189847522222222,10.568816845325061,,
2022-02-18 02:20:00,1645151337.5161014,261.4015972892063,4.048466343199297,8.26937267,4.033507246,-3.43914354,10.298437643320835,,
2022-02-18 02:40:00,1645152559.7252226,261.21049406437186,2.3894800050592284,4.882551233333333,0.33260509999999993,-4.5238292,10.291179832479749,,
2022-02-18 03:00:00,1645153837.4892976,261.0107105399601,3.4212429697220146,6.99426882,-0.4775684699999999,-1.7959785400000001,10.70551984391769,,
2022-02-18 03:20:00,1645155087.476,260.81527630553927,2.4633231835407843,5.0378047100000005,-8.23813393,3.65824595,11.14682084026373,,
2022-02-18 03:40:00,1645156274.9633338,260.6296194036112,3.9732169480334765,8.129272566666666,-6.7453436,3.0962374333333336,11.451836029454803,,
2022-02-18 04:00:00,1645157462.4506998,260.4439681193951,1.754007572195696,3.5900599300000002,-0.004126690000000188,-3.5641317800000003,10.108225419754783,,
2022-02-18 04:20:00,1645158649.937775,260.2583223164474,3.329774191839067,6.818556755555556,2.8657305222222225,-7.338582588888889,10.771520189636677,,
2022-02-18 04:40:00,1645159837.4250016,260.072682126768,4.0528061520208105,8.30246332,1.3145800955999998,-4.716017481,10.365094237188519,,
2022-02-18 05:00:00,1645161087.4116998,259.87727731960365,4.436202133050208,9.091441722222221,-2.0336962388888886,-3.6394036444444446,10.126119335915313,,
2022-02-18 05:20:00,1645162274.898888,259.69164843154596,,,,,,,
2022-02-18 05:40:00,1645163462.3859973,259.5060252144575,,,,,,,
2022-02-18 06:00:00,1645164649.8733346,259.32040743218454,,,,,,,
2022-02-18 06:20:00,1645165837.3603997,259.1347953654068,,,,,,,
2022-02-18 06:40:00,1645167087.3469985,258.9394201881784,,,,,,,
2022-02-18 07:00:00,1645168274.8341115,258.75381948150675,,,,,,,
2022-02-18 07:20:00,1645169462.321301,258.56822445767864,,,,,,,
2022-02-18 07:40:00,1645170649.8083327,258.3826349638269,,,,,,,
2022-02-18 08:00:00,1645171837.2955976,258.1970511425646,,,,,,,
2022-02-18 08:20:00,1645173087.282001,258.00170579903494,,,,,,,
2022-02-18 08:40:00,1645174274.7692213,257.8161334249418,,,,,,,
2022-02-18 09:00:00,1645175462.2562985,257.63056680419913,,,,,,,
2022-02-18 09:20:00,1645176649.7433338,257.44500573047844,,,,,,,
2022-02-18 09:40:00,1645177837.2306004,257.25945036605873,,,,,,,
2022-02-18 10:00:00,1645179087.2169988,257.0641350164441,,,,,,,
2022-02-18 10:20:00,1645180274.7041104,256.87859118930004,,,,,,,
2022-02-18 10:40:00,1645181462.191201,256.6930531329941,,,,,,,
2022-02-18 11:00:00,1645182649.6783323,256.5075206460336,,,,,,,
2022-02-18 11:20:00,1645183837.1653981,256.32199395141686,,,,,,,
2022-02-18 11:40:00,1645185087.1519997,256.12670875435026,,,,,,,
2022-02-18 12:00:00,1645186274.639001,255.9411936561811,,,,,,,
2022-02-18 12:20:00,1645187462.1260982,255.7556843473479,,,,,,,
2022-02-18 12:40:00,1645188649.6133327,255.5701806282882,,,,,,,
2022-02-18 13:00:00,1645189837.1003003,255.38468276982448,,,,,,,
2022-02-18 13:20:00,1645191087.0867994,255.18942796530578,,,,,,,
2022-02-18 13:40:00,1645192274.573888,255.00394174810694,,,,,,,
2022-02-18 14:00:00,1645193462.0609994,254.81846136865778,,,,,,,
2022-02-18 14:20:00,1645194649.548223,254.63298661861108,,,,,,,
2022-02-18 14:40:00,1645195837.0351987,254.44751776327945,,,,,,,
2022-02-18 15:00:00,1645197087.0216994,254.2522935284227,,,,,,,
2022-02-18 15:20:00,1645198274.5087776,254.06683639146453,,,,,,,
2022-02-18 15:40:00,1645199461.995999,253.88138511058204,,,,,,,
2022-02-18 16:00:00,1645200649.4829986,253.69593954727725,,,,,,,
2022-02-18 16:20:00,1645201836.9702013,253.51049984545233,,,,,,,
2022-02-18 16:40:00,1645203086.9567006,253.3153063754292,,,,,,,
2022-02-18 17:00:00,1645204274.4436646,253.12987851995007,,,,,,,
2022-02-18 17:20:00,1645205461.9308994,252.94445653806025,,,,,,,
2022-02-18 17:40:00,1645206649.4179995,252.7590402962721,,,,,,,
2022-02-18 18:00:00,1645207836.9050994,252.57362998523794,,,,,,,
2022-02-18 18:20:00,1645209086.8915985,252.37846747552962,,,,,,,
2022-02-18 18:40:00,1645210274.378668,252.1930690534729,,,,,,,
2022-02-18 19:00:00,1645211461.8657997,252.00767657520564,,,,,,,
2022-02-18 19:20:00,1645212649.3528867,251.82228985932366,,,,,,,
