,Time,Time.1,timestamps,lon,oxy,car,iron,olon
0,2022-02-18 00:00:15.851000,2022-02-18 00:00:15.851000,1645142415.851,,0.04386999,1.1915853,0.09030542,262.7967544294254
1,2022-02-18 00:10:15.849000,2022-02-18 00:10:15.849000,1645143015.849,243.1985656612124,0.052620187,1.066372,0.09620978,262.70291791658866
2,2022-02-18 00:20:15.847000,2022-02-18 00:20:15.847000,1645143615.847,244.22985216107614,0.05017219,1.3918023,0.11299258,262.6090827947544
3,2022-02-18 00:30:15.845000,2022-02-18 00:30:15.845000,1645144215.845,244.75881705499015,0.048351407,1.2348359,0.1119611,262.5152490648525
4,2022-02-18 00:40:15.843000,2022-02-18 00:40:15.843000,1645144815.8430002,245.38067368691316,0.054106303,1.3101209,0.10218033,262.4214167277253
5,2022-02-18 00:50:15.843000,2022-02-18 00:50:15.843000,1645145415.8430002,244.3288255566241,0.04314536,1.3736624,0.104058675,262.3275854715131
6,2022-02-18 01:00:15.841000,2022-02-18 01:00:15.841000,1645146015.8409998,245.5390368632748,0.04450554,1.1375424,0.12528984,262.23375592265995
7,2022-02-18 01:10:15.839000,2022-02-18 01:10:15.839000,1645146615.839,243.99414927581768,0.04005,1.3915902,0.09765474,262.1399277692436
8,2022-02-18 01:20:15.837000,2022-02-18 01:20:15.837000,1645147215.837,245.8347680134304,0.031742886,1.1587912,0.10553597,262.04610101218213
9,2022-02-18 01:30:15.835000,2022-02-18 01:30:15.835000,1645147815.835,245.36483408307345,0.030220252,1.3142438,0.10359714,261.95227565234956
10,2022-02-18 02:03:34.965000,2022-02-18 02:03:34.965000,1645149814.965,244.68387333048062,0.04690163,1.3366178,0.10886703,261.6396695524613
11,2022-02-18 02:13:34.969000,2022-02-18 02:13:34.969000,1645150414.969,244.8593920970406,0.050141096,1.3670881,0.11209303,261.5458493173979
12,2022-02-18 02:23:34.967000,2022-02-18 02:23:34.967000,1645151014.967,244.6693288299081,0.035739217,1.2790321,0.10979587,261.4520314225206
13,2022-02-18 02:33:34.965000,2022-02-18 02:33:34.965000,1645151614.965,244.70277317789515,0.045529805,1.3850281,0.10048748,261.3582149304989
14,2022-02-18 02:43:34.963000,2022-02-18 02:43:34.963000,1645152214.963,244.6236455790102,0.04625781,1.2983094,0.11446141,261.26439984225397
15,2022-02-18 02:53:34.961000,2022-02-18 02:53:34.961000,1645152814.961,241.70097551745275,0.055496316,1.3822929,0.085908264,261.17058615865
16,2022-02-18 03:03:34.959000,2022-02-18 03:03:34.959000,1645153414.959,243.14131628065263,0.063627936,1.2302499,0.113812715,261.0767738806246
17,2022-02-18 03:13:34.957000,2022-02-18 03:13:34.957000,1645154014.957,243.8491975555741,0.053384837,1.350642,0.117421545,260.9829630090429
18,2022-02-18 03:23:34.955000,2022-02-18 03:23:34.955000,1645154614.9550002,243.15892838726057,0.05038008,1.4938524,0.11869401,260.88915354480037
19,2022-02-18 03:33:34.953000,2022-02-18 03:33:34.953000,1645155214.9529998,243.01434105203973,0.06074935,1.1826606,0.10773117,260.7953454887925
20,2022-02-18 03:43:34.951000,2022-02-18 03:43:34.951000,1645155814.951,243.6393476499419,0.060324494,1.2280334,0.120086715,260.70153884191535
21,2022-02-18 03:53:34.949000,2022-02-18 03:53:34.949000,1645156414.949,243.4464785200956,0.047358397,1.1394949,0.111384496,260.6077336050947
22,2022-02-18 04:03:34.947000,2022-02-18 04:03:34.947000,1645157014.947,242.62369676962913,0.0870277,1.3384693,0.1651487,260.5139297791698
23,2022-02-18 04:13:34.945000,2022-02-18 04:13:34.945000,1645157614.945,243.43163589961517,0.12383226,1.7986542,0.1461373,260.4201273650963
24,2022-02-18 04:23:34.944000,2022-02-18 04:23:34.944000,1645158214.944,243.51330698533027,0.14355505,2.0118423,0.1403309,260.32632620740594
25,2022-02-18 04:32:36.334000,2022-02-18 04:32:36.334000,1645158756.334,244.46608861373204,0.13147809,1.6208197,0.15483649,260.2416889316309
26,2022-02-18 04:42:36.339000,2022-02-18 04:42:36.339000,1645159356.339,245.17569726603188,0.12178806,1.4263245,0.14666805,260.14788952590453
27,2022-02-18 04:52:36.337000,2022-02-18 04:52:36.337000,1645159956.337,244.226031670064,0.09715139,1.4122332,0.1379864,260.05409262984523
28,2022-02-18 05:02:36.334000,2022-02-18 05:02:36.334000,1645160556.334,244.66651371690028,0.09956177,1.4895245,0.10989905,259.9602973063318
29,2022-02-18 05:12:36.332000,2022-02-18 05:12:36.332000,1645161156.332,244.24033582819212,0.074361585,1.259581,0.11845579,259.8665032436468
