bins,Unnamed: 0,lon,use_dens,vr,vt,vn,sigmac,sigmar,olon
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,10252.833333333334,54.6542962440021,11.20509202642809,559.7527816616263,12.27227739219758,-17.39149296293414,,,67.58819003564916
55,10217.142857142857,55.684052037501885,11.176234787802418,550.4766565596199,22.515684381480412,-19.598949455673964,,,68.23910613115206
56,10205.380952380952,56.600519040269795,11.19541665077765,535.0492231979647,19.13271161425067,-25.427948221371544,,,68.45382874489948
57,10228.1875,57.534793411042806,11.122447503800393,508.4311436575253,14.300942308723712,-16.073236823745088,,,68.0381118633599
58,10174.148148148148,58.49123274451091,11.981789470137956,510.90075363035766,7.865619529429025,-5.642662752364181,0.0473402782740093,0.14973726131966206,69.02549380947787
59,10113.057692307691,59.50641734085579,11.953719524821619,513.9100767863137,-9.318336166440764,-7.610392334169806,0.5392071634839646,-0.17589757257802927,70.14215251986535
60,9965.954545454546,60.487829581495355,12.485369811217009,545.343425362445,-26.219618555077147,-5.3787022022269495,0.6447686705220592,-0.04972927930624923,72.8301816739765
61,9952.329545454546,61.50757065627045,13.224500314087265,529.6831908381378,-18.457221579798713,4.340800364137018,0.3202037339453641,-0.2149593676692656,73.08015346716952
62,9824.447368421053,62.47787600815076,12.357847247400255,556.2241118781834,-7.516103527273875,-0.6749949837013794,0.4282565909025345,-0.31212336710403904,75.42180492289673
63,9774.92,63.56519451546462,13.343462841935484,550.6538056475806,-15.953478503962904,1.9207856714940323,0.16359092853958215,-0.4340721824447027,76.3296418808494
64,9709.775510204081,64.66162849027161,14.096977252232143,552.8310642028061,-16.73561574209805,2.346172834619404,0.5459176050694735,-0.293126061781501,77.52543069311676
65,9685.39705882353,65.42534191295195,13.402794006152158,545.2488650893915,-21.580143673304306,-10.670813975959012,0.5455269789203212,-0.43122184245485445,77.97294046618997
66,9640.825,66.47378088437358,13.070512217220502,539.7852862949162,-24.80457629923661,-11.892889608762676,0.42511020867392535,-0.5951950582462111,78.79157612990669
67,9583.766666666666,67.54317266842894,16.062590298387097,539.1001251788755,-13.780855763912633,10.083668623798724,0.7069843132706272,-0.47688469035916164,79.8406559901181
68,9542.133333333333,68.60552323197936,18.519089417271505,532.2775145974463,5.575964280500202,16.363178588348116,0.5608473927443555,-0.5329781575559799,80.60613599797271
69,9515.233766233767,69.48000733237792,20.407575918643396,524.2135638029787,-8.233869800590613,17.167930134905934,0.6138868814178539,-0.5591067977239024,81.10110482475922
70,9446.32142857143,70.52565256964812,24.758961476814516,528.3622435804292,1.7825516580470906,8.006074639725375,0.31784068233049123,-0.48557495759563407,82.36981787967207
71,9403.578947368422,71.49235050882314,25.654449732544567,524.6361447131437,-19.71102611016904,3.8025416293956034,0.5800479037949917,-0.28651877645793794,83.1571153385986
72,9324.933333333332,72.53619673755405,22.235996114637096,532.0928090307796,-21.66147282644008,2.950473317293091,,,84.60676749553289
73,9328.94642857143,73.33400805216557,21.397641329144427,514.3673787113061,-20.73253954439264,-1.7583371610551743,,,84.53256279779605
74,9220.0,74.74443374435663,22.42439226203377,525.1084702759576,-25.299383968478452,28.951453133051412,0.6599614640949721,-0.05189826964463436,86.54277833627833
75,9210.157894736842,75.53263625310703,22.047936664712434,513.160517524671,-15.152446984086907,23.75744300291145,0.7790806898991814,-0.1592042179448986,86.72452809267277
76,9183.0625,76.40794812362485,20.431487412686504,505.86833388168264,-27.488066420297063,-7.523831273969157,0.3826796165417151,-0.07760231359381359,87.22495202000967
77,9135.6,77.48572266148452,21.35469566989247,501.73907607728495,-12.982084542935485,-7.025909963944093,,,88.10174235494736
78,9107.764705882353,78.57490044120384,20.58107341366224,491.32042039788894,-2.5371923085470236,-16.306706226193075,,,88.61623229405436
79,9068.777777777777,79.61408840296343,23.146863943468382,485.57645008357866,-6.749484878025221,15.924322510298238,,,89.33688042209191
80,9046.378378378378,80.32714802077794,24.23628704750012,480.4700383534946,3.1596783534727977,24.681919834032136,,,89.75159902681848
81,9003.277777777777,81.46480429049147,24.28333969858871,474.8001728416218,-1.1915242186088708,32.645803098832886,0.28194259305961944,-0.2505377292400817,90.54895497376378
82,8955.222222222223,82.59548220509889,26.54635479939516,470.7517458269863,-10.481965512472893,12.64518322519198,0.3923560374147842,-0.5613330156955033,91.43863551920755
83,8947.151515151516,83.41265082145514,25.09853250738342,460.2178122833704,-14.535309505981086,2.2156589825285473,0.5236894519456983,-0.6294942950108866,91.58803268509364
84,8939.08,84.48360622951446,26.592683104475803,446.4199128282258,-16.90851549977547,17.52541112072008,0.5257077472558039,-0.4449763348984046,91.73745414963456
85,8810.388888888889,85.65935281133244,25.749996336189515,467.5430772199821,-8.614779798431003,13.512562498605478,0.2942810037742839,-0.5183747838634395,94.12425612379808
86,8791.425531914894,86.53304068264917,25.930301609608374,456.9028545549389,-18.497856462522574,20.899360883520934,0.5201252348763037,-0.2641051453694634,94.47452145108768
87,8705.175257731958,87.55179194715866,22.848023418369042,465.03377879017415,-35.20411013539479,10.25033122753995,0.5264788211273865,-0.1728169482201685,96.07485671084383
88,8641.623529411765,88.42764476459666,22.0523961799434,470.0913627784385,-17.421932985661837,3.4889127929641557,0.6868910669940496,-0.18798831417761805,97.25551650827754
89,8451.38,89.52191882460511,23.80750483121522,513.3371842897145,6.951376565775673,-1.1594543893006448,0.7678625866234223,-0.2070301346474679,100.79404214823695
90,8415.73417721519,90.48937389808941,24.59458319333146,505.68095013500414,-9.593708718582368,-0.23391404592961418,0.7134767411834644,-0.2753371536149239,101.45678443331265
