bins,Unnamed: 0,timestamps,lon,oxy,car,iron,olon
50,,,,,,,
51,,,,,,,
52,,,,,,,
53,,,,,,,
54,2014.0,1646422358.4910002,54.467049025548675,0.096484445,1.4325391,0.25437468,67.85192634139915
55,2020.0,1646425958.0269997,55.54906489039704,0.091039398,1.3097477666666668,0.22203339333333336,67.32699395961684
56,2008.5,1646419057.0310001,56.68090062422722,0.11137913,1.4371632,0.224903085,68.33374259541094
57,2010.3125,1646420145.0801876,57.60538023970609,0.08618256275,1.5978335875,0.20263712875,68.17551071765034
58,1998.5,1646413057.5456786,58.52123264347159,0.08073506500000001,1.6498416285714286,0.18896503767857142,69.21159324586779
59,1986.6153846153845,1646405926.6986923,59.49657366571334,0.08178993653846155,1.7979344115384615,0.18170983730769233,70.25440283058947
60,1958.4285714285713,1646389014.2827141,60.57582903441888,0.08012896276190476,2.1572759952380953,0.15057637876190477,72.72644251885319
61,1949.0,1646383357.24425,61.461645372543416,0.06743670590909091,1.9646605181818182,0.14151847454545455,73.5551843636604
62,1930.8,1646372391.8868,62.390200367376316,0.0633953443,2.0169094999999997,0.14262929200000002,75.16212539653232
63,1917.6666666666667,1646364405.8871667,63.646073130776415,0.058917794999999995,1.72524605,0.14459529733333334,76.33284265658874
64,1904.0,1646356239.190889,64.74209945533993,0.043443303,1.2229478,0.1610847877777778,77.53208554449932
65,1897.764705882353,1646352526.4325883,65.51336012716264,0.04574041782352941,1.0786340594117647,0.16202377470588236,78.07742720410236
66,1887.888888888889,1646346672.490111,66.58715859165602,0.03369136822222222,1.0255264922222223,0.16174375,78.93773098085008
67,1872.3333333333333,1646337285.33,67.65892630564913,0.04208771533333333,1.1848804666666666,0.13732141333333334,80.31848580583686
68,1868.5,1646334976.513375,68.5272595347215,0.04111367825,1.1478753875,0.139859975125,80.65806681494026
69,1864.5333333333333,1646332506.6689334,69.44995343444228,0.04368843733333334,1.3746905046666666,0.1361258030666667,81.02157890517127
70,1844.3333333333333,1646320344.3493335,70.43804598368298,0.060178318333333335,2.2858256666666668,0.09973243133333333,82.81282498041169
71,1839.3529411764705,1646317356.102647,71.49539381192271,0.055168790705882355,1.852341094117647,0.11088112047058823,83.25355696515989
72,1822.3846153846155,1646307175.0690768,72.55108779193048,0.0593742703076923,1.788267746153846,0.10417723761538461,84.75496621464087
73,1826.909090909091,1646309889.7652726,73.27036097780488,0.05704956827272727,2.0540578,0.10473913427272728,84.35425187377938
74,1805.6666666666667,1646297144.2623332,74.59330797640224,0.054613766,1.7150687666666666,0.10156356166666665,86.23535415302922
75,1800.7,1646294164.2496,75.63086479365941,0.0594758301,2.08016631,0.0908684354,86.67548873884553
76,1792.5,1646289244.2289999,76.48500241466787,0.057901727400000005,2.21947502,0.086950241,87.40245844940465
77,1784.3333333333333,1646284344.2081668,77.4609461247718,0.0538988755,1.9895945666666668,0.072377495,88.12665479177379
78,1779.0,1646281144.1933334,78.54458631540624,0.06437320866666667,2.5481815666666665,0.06781949599999999,88.5998125871465
79,1772.4285714285713,1646276037.2094285,79.60284490114965,0.06430808542857143,2.106959314285714,0.09049910771428571,89.35526976062083
80,1767.0,1646272253.8232,80.39922648163085,0.0630968544,2.05135122,0.11546723480000001,89.91512772269857
81,1761.0,1646268698.8785,81.41345408954224,0.06808880725000001,2.16994665,0.12908668375000001,90.4414856282438
82,1753.75,1646264348.4945,82.43873810651863,0.079711819,2.47356495,0.12290529374999999,91.08566488890486
83,1747.9285714285713,1646260877.0495715,83.2613945338544,0.0816959785,2.7308744785714287,0.12808833742857142,91.59984882067249
84,1748.125,1646261048.478375,84.3323439593947,0.06364460250000001,2.3608438875,0.13451533425,91.5742914318693
85,1712.8333333333333,1646239872.4258335,85.71971655294313,0.06748695883333333,1.9727369833333332,0.11845485733333333,94.71622513142472
86,1715.3684210526317,1646241393.23,86.53626755632891,0.055144126,1.665847249473684,0.12033458510526317,94.48905544251097
87,1700.7368421052631,1646232614.1697893,87.50235283024352,0.04864240231578948,1.6144775210526316,0.11848253473684209,95.79209022708937
88,1684.95,1646223134.3272,88.38501885473059,0.044208374950000004,1.237618494,0.1290967619,97.20076881577802
89,1642.7777777777778,1646197796.307611,89.54945706654188,0.039864948,0.9538586477777778,0.13877500977777776,100.97096117184047
90,1639.6470588235295,1646195897.743059,90.44005381893412,0.03886055094117647,0.9905382694117646,0.13821422205882355,101.25327366857674
91,1636.4516129032259,1646193974.5021613,91.46260380171502,0.03917117341935484,0.9475529251612903,0.13262709012903226,101.53878192920774
92,1608.1666666666667,1646177070.9225,92.51911037706145,0.04001021,0.8280446283333333,0.128837815,104.05859324664162
93,1595.25,1646169320.740875,93.36070366277615,0.03682957075,0.76908527,0.128839682,105.21427553765396
94,1584.4,1646162945.0314,94.61610245647486,0.03500854711111111,0.7122835366666667,0.13436758377777777,106.166054070614
95,1574.1666666666667,1646156916.9415834,95.59035244678982,0.04251913666666667,0.8175885516666667,0.13117519166666666,107.06640377057731
96,1568.0,1646153239.319,96.45818914046447,0.057660014,0.9291434916666667,0.12889852999999998,107.61579035651569
97,1560.5,1646148739.3125,97.35571931777464,0.07041186575,1.484154325,0.1209320625,108.28831055927422
98,,,,,,,
99,1555.0,1646145439.3080003,99.68886016362745,0.112366515,1.8590644333333335,0.143224825,108.78165095843887
100,1555.0,1646145439.30825,100.26320443918351,0.10669750224999999,2.44550905,0.155971935,108.78164857518593
101,1548.0,1646141239.3053334,101.60053145404851,0.12914791666666667,2.9374373000000005,0.1407896266666667,109.4097050659709
