bins,Unnamed: 0,timestamps,lon,BrR2,Br,Bn,Bt,B,olon
50,,,,,,,,,
51,,,,,,,,,
52,,,,,,,,,
53,,,,,,,,,
54,,,,,,,,,
55,10249.5,1646423603.8127496,55.414922599759066,-1.364560902978763,-4.9026084,4.2602477,11.312304,13.044289991315043,67.67032370829278
56,10204.12,1646417931.3635592,56.6046181371029,0.3974438489429768,1.410544512047619,-5.994703785714286,10.138147614285714,14.62808678816195,68.49826786159436
57,10228.515625,1646420980.7893276,57.61042149952055,-0.5259072326700783,-1.9069711944047618,-6.725887988333333,7.657663938809525,14.011786179112805,68.05353285657745
58,10173.146788990825,1646414059.746889,58.52359862162497,-0.8244933701372386,-2.9618146318181817,-1.1260501959090907,7.5967407125,13.663660641844858,69.06514477520362
59,10117.814569536424,1646407143.2814364,59.48659374600441,-1.8213502517895772,-6.473510547916667,-0.7781331477569444,5.895090899986111,13.486160470424984,70.0766446240671
60,9960.136363636364,1646387433.682511,60.4805370245617,-2.5831448808387636,-9.047335674261364,1.2248285142045454,2.562344923636364,12.398253624561606,72.95777163118633
61,9959.369047619048,1646387337.7689521,61.44160520047364,-2.8036787682097613,-9.820263017857142,0.42040440111428573,3.6177887948928573,12.455079169123264,72.97266201224052
62,9821.697674418605,1646370129.0019531,62.42869505727025,-2.6647185159207507,-9.2521528,-2.7824483872093024,5.858643849534883,13.082308867322594,75.49359655773833
63,9777.04,1646364546.8429184,63.58031606449849,-2.861240433762871,-9.902899872,-6.6408249156,4.770216048,13.750873677836745,76.31215872835328
64,9712.673913043478,1646356501.1544552,64.67774068360343,-1.6673267831351506,-5.759860079782609,-4.714245962608695,5.105948070217392,14.060783733762023,77.49360922067102
65,9683.18309859155,1646352814.8357747,65.39065946902993,-1.261997516499503,-4.349640886619718,-6.219879962605634,1.446325449577465,14.12698545518609,78.03506012162563
66,9645.71794871795,1646348131.7342305,66.46854481625802,-1.6938784227368064,-5.814164786410257,-7.157757092307692,1.1529566364102566,14.962858931135989,78.72320520107044
67,9584.166666666666,1646340437.893099,67.5093002944139,-1.2388246905745859,-4.249349896666667,2.066121573333333,-0.22543528333333337,14.869978310436846,79.85468083946603
68,9543.689655172413,1646335378.3120337,68.58964059868421,-1.3396283820066235,-4.57815946537931,2.662681279655173,7.009374137931035,15.24354353658129,80.59894945992666
69,9517.037037037036,1646332046.7645555,69.47774866909344,-2.2959852352668553,-7.823144869259259,4.204210841604938,2.3283045322222224,14.977179321705579,81.08931704157537
70,9432.09090909091,1646321428.5933168,70.51284728330353,-0.32680823739558795,-1.1116367763636363,-0.11429848590909093,5.902252193181818,11.668720145571104,82.65324870075845
71,9404.47619047619,1646317976.7839842,71.47039336359659,-1.51970903243289,-5.1362998807936515,-0.8972318815873015,0.9360880188888889,11.71569306096171,83.1620356115856
72,9324.386666666667,1646307965.6819322,72.57070610575606,-2.0420040343903536,-6.8557969756,-0.5740588734666666,3.9721803274666665,12.57344681568904,84.63829030365594
73,9330.115384615385,1646308681.765442,73.31114073824511,-3.038388036964351,-10.206162340384616,-0.04496595980769229,4.902811951923077,13.082203859487068,84.53252634553206
74,9227.833333333334,1646295896.6210005,74.64559877232837,-1.7784389419614257,-5.935062724999999,8.597646283333333,-0.0897979900000001,12.768633161442027,86.41962726980667
75,9209.673913043478,1646293626.7130647,75.51345859681514,-2.0890154995133474,-6.962969809782609,7.019455010869565,3.096546326521739,12.685567781674946,86.75489578337712
76,9181.333333333334,1646290084.1711328,76.42425537520276,-2.794129371516914,-9.295291422222222,-1.0268391237777779,0.4092998562222222,13.136493614129158,87.27834759827184
77,9135.6,1646284367.5534987,77.49200295904956,-3.2657731783645048,-10.830372516666667,-1.6926340253333334,5.476534325,13.87136562784721,88.12320462473414
78,9105.388888888889,1646280591.1968877,78.62358242813632,-3.0078332808074206,-9.957852809444445,-7.545468477777778,6.624217033333333,15.422365780305988,88.6816153471116
79,9072.0,1646276417.6218004,79.68157633423137,-2.460468383179729,-8.133457084,3.43127969348,4.72573598,15.061015589265146,89.29899181320518
80,9043.447368421053,1646272848.5734196,80.36369965615152,-0.8568607515998651,-2.8360520544736842,5.535462811710526,6.900043942105263,15.795955074935447,89.82710118881346
81,9001.64705882353,1646267623.5798244,81.48394872850588,-0.5168001953911774,-1.7093828429411764,10.307147911764705,5.289986192235294,15.703963937243449,90.60062903921421
82,8950.92,1646261282.7521594,82.58423698881121,1.0607481267048804,3.4511375828,5.601032764,-2.259649592,15.944873539529581,91.53972688698622
83,8947.434782608696,1646260847.1037962,83.41244263554806,-0.12378272257245744,-0.43022083130434774,-0.7493039057971014,-3.825776251594203,16.412927511843623,91.60427544599264
84,8946.0,1646260667.757582,84.46745618675833,-2.53967664673206,-8.3290995875,1.5107094541666666,-4.272376568333333,14.853552233175057,91.63076019883978
85,8832.0,1646246417.881353,85.66033503852411,-2.2392570303433454,-7.340044007352941,2.446061725294118,-1.2799122488235295,13.164755226186935,93.74455954693991
86,8780.826530612245,1646240021.2531018,86.54373311747827,-2.508143231622998,-8.158873731632653,3.4804385953061225,-2.2586463464285718,13.387910808211808,94.69284644541851
87,8708.655555555555,1646230999.959666,87.55942637474325,-3.2672277325674632,-10.5478636,0.7403607380666668,-5.769017748111112,14.13770045981717,96.03171635251432
88,8644.370786516854,1646222964.4339876,88.40916214997627,-2.690774688940817,-8.677687759550562,0.049679937797752864,0.21741853370786518,14.072661984791916,97.22594626554691
