Time,Unnamed: 0,timestamps,lon,oxy,car,iron,olon
2022-02-18 00:00:00,7.5,1645147440.51375,244.52463405921333,0.0449281243125,1.288682175,0.1050874161875,262.01098862406735
2022-02-18 03:00:00,24.5,1645158485.6413333,243.7954039916795,0.08765068661111111,1.4040131777777778,0.1259361283888889,260.2840257822891
2022-02-18 06:00:00,42.5,1645169256.306611,241.89956640032642,0.09687713077777778,1.4178866222222224,0.10731357894444445,258.6004415533135
2022-02-18 09:00:00,60.5,1645180056.2705,240.68104769186624,0.07367494544444445,1.2331264166666667,0.10452314950000001,256.91274007742095
2022-02-18 12:00:00,78.5,1645190856.235,239.73034508049963,0.07385755155555557,1.2990540499999998,0.10720464561111111,255.2255072472574
2022-02-18 15:00:00,96.5,1645201656.1986666,237.61185300717656,0.08500544338888888,1.5226617111111111,0.10122998566666667,253.5387486761958
2022-02-18 18:00:00,114.5,1645212456.8912778,235.21829725075855,0.054840570722222225,1.35953935,0.09091952538888888,251.8523558892138
2022-02-18 21:00:00,132.5,1645223257.585,231.63454601091436,0.04842781061111111,0.9023184027777779,0.1069440786111111,250.16644805888154
2022-02-19 00:00:00,150.5,1645233907.5503335,230.57473582924683,0.03928098772222222,0.816261381111111,0.10799950861111111,248.5045482785186
2022-02-19 03:00:00,168.5,1645244783.2418334,229.58921760945708,0.03541477583333333,0.8738576266666667,0.09916975861111112,246.80792339606717
2022-02-19 06:00:00,186.5,1645255658.9354446,228.7914245981832,0.04785001716666667,1.2121680088888889,0.10084156555555555,245.11180538534407
2022-02-19 09:00:00,204.5,1645266458.9014997,225.85404199487408,0.04581088377777778,1.2415783444444444,0.10766737533333333,243.42800782474114
2022-02-19 12:00:00,222.5,1645277258.8682778,223.3927691607786,0.036037201944444444,0.9748550688888888,0.11560006849999999,241.74472367725014
2022-02-19 15:00:00,240.5,1645288058.8354445,221.65178037068426,0.039233934666666664,0.886062851111111,0.11169881944444444,240.06195887229413
2022-02-19 18:00:00,258.5,1645298859.5399446,221.06264132303045,0.03994265888888889,0.9040609566666666,0.11455340422222221,238.37960459029404
2022-02-19 21:00:00,276.5,1645309660.2460556,220.20618928065227,0.037801911111111114,0.9326044377777778,0.11633883477777777,236.6977814654804
2022-02-20 00:00:00,294.5,1645320310.2146666,219.02758931902179,0.03834022127777778,1.0717125066666666,0.1091574763888889,235.03995659031318
2022-02-20 03:00:00,312.5,1645331185.6426668,218.27192653540456,0.042826200333333335,1.0861516333333334,0.10792459922222222,233.34758204193056
2022-02-20 06:00:00,330.5,1645342061.5097222,216.3812639010675,0.04617817622222223,1.225651791111111,0.10636432138888889,231.6556947044541
2022-02-20 09:00:00,348.5,1645352861.5663333,215.49550503113167,0.05537903272222223,1.3367025666666668,0.14715325333333334,229.97615966984026
2022-02-20 12:00:00,366.5,1645363661.535222,214.95783903015413,0.057105217444444446,1.4938749444444444,0.14125037055555556,228.29720069031126
2022-02-20 15:00:00,384.5,1645374461.5048332,212.68947374705743,0.06824826994444444,1.7316972666666668,0.1221374896111111,226.61881042762178
2022-02-20 18:00:00,402.5,1645385261.8617222,213.8847331670981,0.06239372555555556,2.261738688888889,0.09122855211111111,224.94093533647504
2022-02-20 21:00:00,418.0,1645394562.2238462,213.07529435400673,0.06087983761538462,2.5298903153846153,0.09546372176923076,223.49654428021861
2022-02-21 00:00:00,,,,,,,
2022-02-21 03:00:00,426.5,1645422139.379,217.75278370104158,0.112577265,3.9628722,0.24321719,219.21627982137258
2022-02-21 06:00:00,437.5,1645428739.3430555,214.01669042956695,0.10754051738888888,3.7473323833333336,0.2047846961111111,218.1925034903607
2022-02-21 09:00:00,455.0,1645439410.0282352,210.09015911333452,0.09397908747058824,2.6243080352941175,0.18703009235294116,216.53772373933288
2022-02-21 12:00:00,472.5,1645449920.6586666,207.07052234735806,0.08155172605555555,1.8557599166666665,0.19128710666666668,214.90835756253537
2022-02-21 15:00:00,490.5,1645460720.6231666,197.33355696813103,0.09585348866666667,1.7626726111111113,0.17219081833333333,213.2347505079777
2022-02-21 18:00:00,508.5,1645471596.0497222,198.6639714276864,0.0807980685,2.1668798944444445,0.13374737055555555,211.5500871670001
2022-02-21 21:00:00,526.5,1645482471.4803333,197.74527763246658,0.07914424305555555,2.147918877777778,0.13858539111111112,209.86606697010598
2022-02-22 00:00:00,544.5,1645493121.4568334,195.35386074790665,0.07454456777777778,2.269542261111111,0.12329829255555556,208.21759183007094
2022-02-22 03:00:00,562.5,1645503997.2427778,193.5801302080573,0.07317697488888888,2.2144425555555554,0.11031007649999999,206.53481958136328
2022-02-22 06:00:00,580.5,1645514873.0310557,192.40504730572124,0.058718601277777775,1.8913358555555557,0.12829969716666667,204.85271304840776
2022-02-22 09:00:00,598.5,1645525673.012389,190.23212427786362,0.045551820388888886,1.3627443255555556,0.15033891555555556,203.18300140755437
2022-02-22 12:00:00,616.5,1645536472.995,186.13602419090444,0.041419311055555554,1.5541809944444447,0.1250176315,201.51396387629762
2022-02-22 15:00:00,634.5,1645547273.6281667,185.0477531882557,0.04505184405882353,1.8114849,0.12274375770588236,199.84550787629044
2022-02-22 18:00:00,652.5,1645558074.2627778,183.9122247354025,0.04833810033333333,1.7633015444444444,0.1426046818888889,198.1777414902307
2022-02-22 21:00:00,670.5,1645568874.2477777,182.05910444460446,0.06288551994117647,1.943775811764706,0.16202076411764707,196.5107730869691
2022-02-23 00:00:00,688.5,1645579524.2346666,180.7144142989748,0.09476632327777777,2.358112877777778,0.1473561372222222,194.86764769588044
